Web Search Interest
France; 2004 - present

Interest over time
Week,Hair Care
2005-07-10 - 2005-07-16,+14%
2005-07-17 - 2005-07-23,+31%
2005-07-24 - 2005-07-30,+38%
2005-07-31 - 2005-08-06,+38%
2005-08-07 - 2005-08-13,+38%
2005-08-14 - 2005-08-20,+38%
2005-08-21 - 2005-08-27,+52%
2005-08-28 - 2005-09-03,+40%
2005-09-04 - 2005-09-10,+26%
2005-09-11 - 2005-09-17,+29%
2005-09-18 - 2005-09-24,+24%
2005-09-25 - 2005-10-01,+26%
2005-10-02 - 2005-10-08,+17%
2005-10-09 - 2005-10-15,+21%
2005-10-16 - 2005-10-22,+24%
2005-10-23 - 2005-10-29,+38%
2005-10-30 - 2005-11-05,+21%
2005-11-06 - 2005-11-12,+19%
2005-11-13 - 2005-11-19,+12%
2005-11-20 - 2005-11-26,+12%
2005-11-27 - 2005-12-03,+19%
2005-12-04 - 2005-12-10,+24%
2005-12-11 - 2005-12-17,+26%
2005-12-18 - 2005-12-24,+43%
2005-12-25 - 2005-12-31,+29%
2006-01-01 - 2006-01-07,+5%
2006-01-08 - 2006-01-14,+14%
2006-01-15 - 2006-01-21,+17%
2006-01-22 - 2006-01-28,+17%
2006-01-29 - 2006-02-04,+17%
2006-02-05 - 2006-02-11,+17%
2006-02-12 - 2006-02-18,+24%
2006-02-19 - 2006-02-25,+29%
2006-02-26 - 2006-03-04,+21%
2006-03-05 - 2006-03-11,+19%
2006-03-12 - 2006-03-18,+21%
2006-03-19 - 2006-03-25,+24%
2006-03-26 - 2006-04-01,+24%
2006-04-02 - 2006-04-08,+24%
2006-04-09 - 2006-04-15,+29%
2006-04-16 - 2006-04-22,+33%
2006-04-23 - 2006-04-29,+36%
2006-04-30 - 2006-05-06,+24%
2006-05-07 - 2006-05-13,+21%
2006-05-14 - 2006-05-20,+26%
2006-05-21 - 2006-05-27,+31%
2006-05-28 - 2006-06-03,+29%
2006-06-04 - 2006-06-10,+24%
2006-06-11 - 2006-06-17,+24%
2006-06-18 - 2006-06-24,+29%
2006-06-25 - 2006-07-01,+31%
2006-07-02 - 2006-07-08,+19%
2006-07-09 - 2006-07-15,+29%
2006-07-16 - 2006-07-22,+17%
2006-07-23 - 2006-07-29,+31%
2006-07-30 - 2006-08-05,+33%
2006-08-06 - 2006-08-12,+38%
2006-08-13 - 2006-08-19,+45%
2006-08-20 - 2006-08-26,+57%
2006-08-27 - 2006-09-02,+57%
2006-09-03 - 2006-09-09,+33%
2006-09-10 - 2006-09-16,+21%
2006-09-17 - 2006-09-23,+21%
2006-09-24 - 2006-09-30,+14%
2006-10-01 - 2006-10-07,+33%
2006-10-08 - 2006-10-14,+26%
2006-10-15 - 2006-10-21,+24%
2006-10-22 - 2006-10-28,+36%
2006-10-29 - 2006-11-04,+33%
2006-11-05 - 2006-11-11,+10%
2006-11-12 - 2006-11-18,+21%
2006-11-19 - 2006-11-25,+19%
2006-11-26 - 2006-12-02,+24%
2006-12-03 - 2006-12-09,+21%
2006-12-10 - 2006-12-16,+29%
2006-12-17 - 2006-12-23,+31%
2006-12-24 - 2006-12-30,+29%
2006-12-31 - 2007-01-06,+14%
2007-01-07 - 2007-01-13,+5%
