Web Search Interest
Portugal; 2004 - present

Interest over time
Week,Tobacco Products
2005-10-23 - 2005-10-29,-49%
2005-10-30 - 2005-11-05,-58%
2005-11-06 - 2005-11-12,-58%
2005-11-13 - 2005-11-19,-19%
2005-11-20 - 2005-11-26,-36%
2005-11-27 - 2005-12-03,-54%
2005-12-04 - 2005-12-10,-26%
2005-12-11 - 2005-12-17,-39%
2005-12-18 - 2005-12-24,-22%
2005-12-25 - 2005-12-31,-37%
2006-01-01 - 2006-01-07,-54%
2006-01-08 - 2006-01-14,-33%
2006-01-15 - 2006-01-21,-39%
2006-01-22 - 2006-01-28,-34%
2006-01-29 - 2006-02-04,-33%
2006-02-05 - 2006-02-11,-30%
2006-02-12 - 2006-02-18,-32%
2006-02-19 - 2006-02-25,-52%
2006-02-26 - 2006-03-04,-58%
2006-03-05 - 2006-03-11,-33%
2006-03-12 - 2006-03-18,-55%
2006-03-19 - 2006-03-25,-48%
2006-03-26 - 2006-04-01,-50%
2006-04-02 - 2006-04-08,-48%
2006-04-09 - 2006-04-15,-44%
2006-04-16 - 2006-04-22,-62%
2006-04-23 - 2006-04-29,-32%
2006-04-30 - 2006-05-06,-42%
2006-05-07 - 2006-05-13,-47%
2006-05-14 - 2006-05-20,-48%
2006-05-21 - 2006-05-27,-43%
2006-05-28 - 2006-06-03,-50%
2006-06-04 - 2006-06-10,-57%
2006-06-11 - 2006-06-17,-70%
2006-06-18 - 2006-06-24,-59%
2006-06-25 - 2006-07-01,-59%
2006-07-02 - 2006-07-08,-62%
2006-07-09 - 2006-07-15,-58%
2006-07-16 - 2006-07-22,-66%
2006-07-23 - 2006-07-29,-63%
2006-07-30 - 2006-08-05,-56%
2006-08-06 - 2006-08-12,-51%
2006-08-13 - 2006-08-19,-39%
2006-08-20 - 2006-08-26,-47%
2006-08-27 - 2006-09-02,-57%
2006-09-03 - 2006-09-09,-57%
2006-09-10 - 2006-09-16,-62%
2006-09-17 - 2006-09-23,-56%
2006-09-24 - 2006-09-30,-63%
2006-10-01 - 2006-10-07,-51%
2006-10-08 - 2006-10-14,-42%
2006-10-15 - 2006-10-21,-59%
2006-10-22 - 2006-10-28,-61%
2006-10-29 - 2006-11-04,-54%
2006-11-05 - 2006-11-11,-60%
