Web Search Interest
Hong Kong; 2004 - present

Interest over time
Week,Classifieds
2009-11-01 - 2009-11-07,+79%
2009-11-08 - 2009-11-14,+82%
2009-11-15 - 2009-11-21,+56%
2009-11-22 - 2009-11-28,+49%
2009-11-29 - 2009-12-05,+67%
2009-12-06 - 2009-12-12,+74%
2009-12-13 - 2009-12-19,+74%
2009-12-20 - 2009-12-26,+87%
2009-12-27 - 2010-01-02,+56%
2010-01-03 - 2010-01-09,+121%
2010-01-10 - 2010-01-16,+79%
2010-01-17 - 2010-01-23,+108%
2010-01-24 - 2010-01-30,+110%
2010-01-31 - 2010-02-06,+59%
2010-02-07 - 2010-02-13,+100%
2010-02-14 - 2010-02-20,+56%
2010-02-21 - 2010-02-27,+41%
2010-02-28 - 2010-03-06,+97%
2010-03-07 - 2010-03-13,+74%
2010-03-14 - 2010-03-20,+62%
2010-03-21 - 2010-03-27,+95%
2010-03-28 - 2010-04-03,+90%
2010-04-04 - 2010-04-10,+126%
2010-04-11 - 2010-04-17,+90%
2010-04-18 - 2010-04-24,+90%
2010-04-25 - 2010-05-01,+121%
2010-05-02 - 2010-05-08,+74%
2010-05-09 - 2010-05-15,+110%
2010-05-16 - 2010-05-22,+113%
2010-05-23 - 2010-05-29,+113%
2010-05-30 - 2010-06-05,+82%
2010-06-06 - 2010-06-12,+74%
2010-06-13 - 2010-06-19,+85%
2010-06-20 - 2010-06-26,+105%
2010-06-27 - 2010-07-03,+108%
2010-07-04 - 2010-07-10,+74%
2010-07-11 - 2010-07-17,+85%
2010-07-18 - 2010-07-24,+92%
2010-07-25 - 2010-07-31,+103%
2010-08-01 - 2010-08-07,+90%
2010-08-08 - 2010-08-14,+105%
2010-08-15 - 2010-08-21,+128%
2010-08-22 - 2010-08-28,+105%
2010-08-29 - 2010-09-04,+95%
2010-09-05 - 2010-09-11,+62%
2010-09-12 - 2010-09-18,+23%
2010-09-19 - 2010-09-25,+113%
2010-09-26 - 2010-10-02,+97%
2010-10-03 - 2010-10-09,+85%
2010-10-10 - 2010-10-16,+67%
2010-10-17 - 2010-10-23,+59%
2010-10-24 - 2010-10-30,+103%
2010-10-31 - 2010-11-06,+97%
2010-11-07 - 2010-11-13,+95%
2010-11-14 - 2010-11-20,+69%
2010-11-21 - 2010-11-27,+97%
2010-11-28 - 2010-12-04,+156%
2010-12-05 - 2010-12-11,+105%
2010-12-12 - 2010-12-18,+141%
2010-12-19 - 2010-12-25,+108%
2010-12-26 - 2011-01-01,+92%
2011-01-02 - 2011-01-08,-3%
2011-01-09 - 2011-01-15,-8%
2011-01-16 - 2011-01-22,-8%
2011-01-23 - 2011-01-29,-3%
2011-01-30 - 2011-02-05,-26%
2011-02-06 - 2011-02-12,+10%
2011-02-13 - 2011-02-19,+5%
2011-02-20 - 2011-02-26,+33%
2011-02-27 - 2011-03-05,+15%
2011-03-06 - 2011-03-12,-21%
2011-03-13 - 2011-03-19,+13%
2011-03-20 - 2011-03-26,+8%
2011-03-27 - 2011-04-02,-5%
2011-04-03 - 2011-04-09,-3%
2011-04-10 - 2011-04-16,-5%
2011-04-17 - 2011-04-23,-8%
2011-04-24 - 2011-04-30,+15%
2011-05-01 - 2011-05-07,-10%
2011-05-08 - 2011-05-14,-10%
2011-05-15 - 2011-05-21,-18%
2011-05-22 - 2011-05-28,-5%
2011-05-29 - 2011-06-04,+8%
2011-06-05 - 2011-06-11,-5%
2011-06-12 - 2011-06-18,+21%
2011-06-19 - 2011-06-25,+23%
2011-06-26 - 2011-07-02,+3%
2011-07-03 - 2011-07-09,+13%
2011-07-10 - 2011-07-16,-13%
2011-07-17 - 2011-07-23,-8%
2011-07-24 - 2011-07-30,+3%
2011-07-31 - 2011-08-06,+8%
2011-08-07 - 2011-08-13,+3%
2011-08-14 - 2011-08-20,+5%
2011-08-21 - 2011-08-27,-5%
2011-08-28 - 2011-09-03,-18%
2011-09-04 - 2011-09-10,-10%
2011-09-11 - 2011-09-17,-15%
2011-09-18 - 2011-09-24,-5%
2011-09-25 - 2011-10-01,-3%
2011-10-02 - 2011-10-08,-15%
2011-10-09 - 2011-10-15,-28%
2011-10-16 - 2011-10-22,-15%
2011-10-23 - 2011-10-29,-31%
2011-10-30 - 2011-11-05,-8%
2011-11-06 - 2011-11-12,-23%
2011-11-13 - 2011-11-19,-13%
2011-11-20 - 2011-11-26,-15%
2011-11-27 - 2011-12-03,-18%
2011-12-04 - 2011-12-10,-23%
2011-12-11 - 2011-12-17,-31%
2011-12-18 - 2011-12-24,-28%
2011-12-25 - 2011-12-31,-26%
2012-01-01 - 2012-01-07,-26%
2012-01-08 - 2012-01-14,-15%
2012-01-15 - 2012-01-21,-21%
2012-01-22 - 2012-01-28,-33%
2012-01-29 - 2012-02-04,-8%
2012-02-05 - 2012-02-11,-8%
2012-02-12 - 2012-02-18,+0%
2012-02-19 - 2012-02-25,-5%
2012-02-26 - 2012-03-03,+15%
2012-03-04 - 2012-03-10,-21%
2012-03-11 - 2012-03-17,-8%
2012-03-18 - 2012-03-24,-10%
2012-03-25 - 2012-03-31,-15%
2012-04-01 - 2012-04-07,-33%
2012-04-08 - 2012-04-14,-8%
2012-04-15 - 2012-04-21,-15%
2012-04-22 - 2012-04-28,-15%
2012-04-29 - 2012-05-05,-3%
2012-05-06 - 2012-05-12,+8%
2012-05-13 - 2012-05-19,-8%
2012-05-20 - 2012-05-26,-5%
2012-05-27 - 2012-06-02,-13%
2012-06-03 - 2012-06-09,-3%
2012-06-10 - 2012-06-16,-21%
2012-06-17 - 2012-06-23,-10%
2012-06-24 - 2012-06-30,-18%
2012-07-01 - 2012-07-07,-10%
2012-07-08 - 2012-07-14,-13%
2012-07-15 - 2012-07-21,-15%
2012-07-22 - 2012-07-28,-15%
2012-07-29 - 2012-08-04,-18%
2012-08-05 - 2012-08-11,-13%
2012-08-12 - 2012-08-18,-15%
2012-08-19 - 2012-08-25,-10%
2012-08-26 - 2012-09-01,-21%
2012-09-02 - 2012-09-08,-26%
2012-09-09 - 2012-09-15,+28%
2012-09-16 - 2012-09-22,+38%
2012-09-23 - 2012-09-29,+28%
2012-09-30 - 2012-10-06,+8%
2012-10-07 - 2012-10-13,+21%
2012-10-14 - 2012-10-20,+3%
2012-10-21 - 2012-10-27,-18%
2012-10-28 - 2012-11-03,-18%
2012-11-04 - 2012-11-10,-21%
2012-11-11 - 2012-11-17,-21%
2012-11-18 - 2012-11-24,-23%
2012-11-25 - 2012-12-01, 



Top searches
classified,100
classified post,80
classifieds,10
hong kong classified,10
kijiji,5
hrmis,5
gumtree,5
classified hk,5
cimbclicks,5
kwsp,5
ptptn,5
