Web Search Interest
Italy; 2004 - present

Interest over time
Week,Photographic & Digital Arts
2009-04-12 - 2009-04-18,-60%
2009-04-19 - 2009-04-25,-62%
2009-04-26 - 2009-05-02,-63%
2009-05-03 - 2009-05-09,-61%
2009-05-10 - 2009-05-16,-63%
2009-05-17 - 2009-05-23,-64%
2009-05-24 - 2009-05-30,-63%
2009-05-31 - 2009-06-06,-63%
2009-06-07 - 2009-06-13,-65%
2009-06-14 - 2009-06-20,-64%
2009-06-21 - 2009-06-27,-63%
2009-06-28 - 2009-07-04,-63%
2009-07-05 - 2009-07-11,-62%
2009-07-12 - 2009-07-18,-64%
2009-07-19 - 2009-07-25,-62%
2009-07-26 - 2009-08-01,-62%
2009-08-02 - 2009-08-08,-61%
2009-08-09 - 2009-08-15,-59%
2009-08-16 - 2009-08-22,-60%
2009-08-23 - 2009-08-29,-60%
2009-08-30 - 2009-09-05,-61%
2009-09-06 - 2009-09-12,-64%
2009-09-13 - 2009-09-19,-64%
2009-09-20 - 2009-09-26,-65%
2009-09-27 - 2009-10-03,-68%
2009-10-04 - 2009-10-10,-67%
2009-10-11 - 2009-10-17,-67%
2009-10-18 - 2009-10-24,-68%
2009-10-25 - 2009-10-31,-68%
2009-11-01 - 2009-11-07,-68%
2009-11-08 - 2009-11-14,-66%
2009-11-15 - 2009-11-21,-65%
2009-11-22 - 2009-11-28,-65%
2009-11-29 - 2009-12-05,-63%
2009-12-06 - 2009-12-12,-58%
2009-12-13 - 2009-12-19,-59%
2009-12-20 - 2009-12-26,-59%
2009-12-27 - 2010-01-02,-61%
2010-01-03 - 2010-01-09,-63%
2010-01-10 - 2010-01-16,-66%
2010-01-17 - 2010-01-23,-68%
2010-01-24 - 2010-01-30,-69%
2010-01-31 - 2010-02-06,-68%
2010-02-07 - 2010-02-13,-68%
2010-02-14 - 2010-02-20,-68%
2010-02-21 - 2010-02-27,-68%
2010-02-28 - 2010-03-06,-68%
2010-03-07 - 2010-03-13,-68%
2010-03-14 - 2010-03-20,-68%
2010-03-21 - 2010-03-27,-69%
2010-03-28 - 2010-04-03,-68%
2010-04-04 - 2010-04-10,-65%
2010-04-11 - 2010-04-17,-69%
2010-04-18 - 2010-04-24,-68%
2010-04-25 - 2010-05-01,-68%
2010-05-02 - 2010-05-08,-67%
2010-05-09 - 2010-05-15,-66%
2010-05-16 - 2010-05-22,-67%
2010-05-23 - 2010-05-29,-68%
2010-05-30 - 2010-06-05,-66%
2010-06-06 - 2010-06-12,-67%
2010-06-13 - 2010-06-19,-67%
2010-06-20 - 2010-06-26,-67%
2010-06-27 - 2010-07-03,-67%
2010-07-04 - 2010-07-10,-67%
2010-07-11 - 2010-07-17,-67%
2010-07-18 - 2010-07-24,-67%
2010-07-25 - 2010-07-31,-65%
2010-08-01 - 2010-08-07,-64%
2010-08-08 - 2010-08-14,-63%
2010-08-15 - 2010-08-21,-63%
2010-08-22 - 2010-08-28,-63%
2010-08-29 - 2010-09-04,-66%
2010-09-05 - 2010-09-11,-67%
2010-09-12 - 2010-09-18,-66%
2010-09-19 - 2010-09-25,-67%
2010-09-26 - 2010-10-02,-66%
2010-10-03 - 2010-10-09,-67%
2010-10-10 - 2010-10-16,-66%
2010-10-17 - 2010-10-23,-68%
2010-10-24 - 2010-10-30,-69%
2010-10-31 - 2010-11-06,-69%
2010-11-07 - 2010-11-13,-68%
2010-11-14 - 2010-11-20,-68%
2010-11-21 - 2010-11-27,-68%
2010-11-28 - 2010-12-04,-64%
2010-12-05 - 2010-12-11,-63%
2010-12-12 - 2010-12-18,-63%
2010-12-19 - 2010-12-25,-62%
2010-12-26 - 2011-01-01,-62%
2011-01-02 - 2011-01-08,-65%
2011-01-09 - 2011-01-15,-67%
2011-01-16 - 2011-01-22,-70%
2011-01-23 - 2011-01-29,-71%
2011-01-30 - 2011-02-05,-71%
2011-02-06 - 2011-02-12,-69%
2011-02-13 - 2011-02-19,-70%
2011-02-20 - 2011-02-26,-71%
2011-02-27 - 2011-03-05,-69%
2011-03-06 - 2011-03-12,-69%
2011-03-13 - 2011-03-19,-71%
2011-03-20 - 2011-03-26,-69%
2011-03-27 - 2011-04-02,-70%
2011-04-03 - 2011-04-09,-69%
2011-04-10 - 2011-04-16,-70%
2011-04-17 - 2011-04-23,-70%
2011-04-24 - 2011-04-30,-70%
2011-05-01 - 2011-05-07,-69%
2011-05-08 - 2011-05-14,-68%
2011-05-15 - 2011-05-21,-68%
2011-05-22 - 2011-05-28,-69%
2011-05-29 - 2011-06-04,-69%
2011-06-05 - 2011-06-11,-69%
2011-06-12 - 2011-06-18,-68%
2011-06-19 - 2011-06-25,-69%
2011-06-26 - 2011-07-02,-68%
2011-07-03 - 2011-07-09,-68%
2011-07-10 - 2011-07-16,-67%
2011-07-17 - 2011-07-23,-68%
2011-07-24 - 2011-07-30,-67%
2011-07-31 - 2011-08-06,-67%
2011-08-07 - 2011-08-13,-67%
2011-08-14 - 2011-08-20,-65%
2011-08-21 - 2011-08-27,-65%
2011-08-28 - 2011-09-03,-67%
2011-09-04 - 2011-09-10,-68%
2011-09-11 - 2011-09-17,-68%
2011-09-18 - 2011-09-24,-69%
2011-09-25 - 2011-10-01,-66%
2011-10-02 - 2011-10-08,-67%
2011-10-09 - 2011-10-15,-68%
2011-10-16 - 2011-10-22,-69%
2011-10-23 - 2011-10-29,-71%
2011-10-30 - 2011-11-05,-69%
2011-11-06 - 2011-11-12,-69%
2011-11-13 - 2011-11-19,-66%
2011-11-20 - 2011-11-26,-69%
2011-11-27 - 2011-12-03,-67%
2011-12-04 - 2011-12-10,-66%
2011-12-11 - 2011-12-17,-63%
2011-12-18 - 2011-12-24,-63%
2011-12-25 - 2011-12-31,-65%
2012-01-01 - 2012-01-07,-66%
2012-01-08 - 2012-01-14,-68%
2012-01-15 - 2012-01-21,-70%
2012-01-22 - 2012-01-28,-72%
2012-01-29 - 2012-02-04,-70%
2012-02-05 - 2012-02-11,-70%
2012-02-12 - 2012-02-18,-71%
2012-02-19 - 2012-02-25,-70%
2012-02-26 - 2012-03-03,-71%
2012-03-04 - 2012-03-10,-70%
2012-03-11 - 2012-03-17,-70%
2012-03-18 - 2012-03-24,-70%
2012-03-25 - 2012-03-31,-70%
2012-04-01 - 2012-04-07,-70%
2012-04-08 - 2012-04-14,-65%
2012-04-15 - 2012-04-21,-69%
2012-04-22 - 2012-04-28,-70%
2012-04-29 - 2012-05-05,-69%
2012-05-06 - 2012-05-12,-69%
2012-05-13 - 2012-05-19,-69%
