Web Search Interest,
United States; 2004 - present,
,
Interest over time,
Week,Fantasy Sports
2006-11-26 - 2006-12-02,125%
2006-12-03 - 2006-12-09,125%
2006-12-10 - 2006-12-16,125%
2006-12-17 - 2006-12-23,113%
2006-12-24 - 2006-12-30,88%
2006-12-31 - 2007-01-06,63%
2007-01-07 - 2007-01-13,38%
2007-01-14 - 2007-01-20,38%
2007-01-21 - 2007-01-27,38%
2007-01-28 - 2007-02-03,25%
2007-02-04 - 2007-02-10,50%
2007-02-11 - 2007-02-17,50%
2007-02-18 - 2007-02-24,75%
2007-02-25 - 2007-03-03,88%
2007-03-04 - 2007-03-10,100%
2007-03-11 - 2007-03-17,113%
2007-03-18 - 2007-03-24,138%
2007-03-25 - 2007-03-31,163%
2007-04-01 - 2007-04-07,113%
2007-04-08 - 2007-04-14,75%
2007-04-15 - 2007-04-21,50%
2007-04-22 - 2007-04-28,63%
2007-04-29 - 2007-05-05,63%
2007-05-06 - 2007-05-12,38%
2007-05-13 - 2007-05-19,50%
2007-05-20 - 2007-05-26,38%
2007-05-27 - 2007-06-02,38%
2007-06-03 - 2007-06-09,88%
2007-06-10 - 2007-06-16,63%
2007-06-17 - 2007-06-23,63%
2007-06-24 - 2007-06-30,75%
2007-07-01 - 2007-07-07,88%
2007-07-08 - 2007-07-14,100%
2007-07-15 - 2007-07-21,113%
2007-07-22 - 2007-07-28,125%
2007-07-29 - 2007-08-04,175%
2007-08-05 - 2007-08-11,250%
2007-08-12 - 2007-08-18,400%
2007-08-19 - 2007-08-25,650%
2007-08-26 - 2007-09-01,700%
2007-09-02 - 2007-09-08,613%
2007-09-09 - 2007-09-15,350%
2007-09-16 - 2007-09-22,288%
2007-09-23 - 2007-09-29,288%
2007-09-30 - 2007-10-06,288%
2007-10-07 - 2007-10-13,250%
2007-10-14 - 2007-10-20,250%
2007-10-21 - 2007-10-27,250%
2007-10-28 - 2007-11-03,238%
2007-11-04 - 2007-11-10,213%
2007-11-11 - 2007-11-17,200%
2007-11-18 - 2007-11-24,238%
2007-11-25 - 2007-12-01,188%
2007-12-02 - 2007-12-08,163%
2007-12-09 - 2007-12-15,150%
2007-12-16 - 2007-12-22,138%
2007-12-23 - 2007-12-29,113%
2007-12-30 - 2008-01-05,88%
2008-01-06 - 2008-01-12,38%
2008-01-13 - 2008-01-19,50%
2008-01-20 - 2008-01-26,38%
2008-01-27 - 2008-02-02,50%
2008-02-03 - 2008-02-09,50%
2008-02-10 - 2008-02-16,63%
2008-02-17 - 2008-02-23,75%
2008-02-24 - 2008-03-01,88%
2008-03-02 - 2008-03-08,100%
2008-03-09 - 2008-03-15,125%
2008-03-16 - 2008-03-22,138%
2008-03-23 - 2008-03-29,138%
2008-03-30 - 2008-04-05,125%
2008-04-06 - 2008-04-12,75%
2008-04-13 - 2008-04-19,50%
2008-04-20 - 2008-04-26,63%
2008-04-27 - 2008-05-03,63%
2008-05-04 - 2008-05-10,50%
2008-05-11 - 2008-05-17,38%
2008-05-18 - 2008-05-24,50%
2008-05-25 - 2008-05-31,50%
2008-06-01 - 2008-06-07,88%
2008-06-08 - 2008-06-14,75%
2008-06-15 - 2008-06-21,75%
2008-06-22 - 2008-06-28,75%
2008-06-29 - 2008-07-05,63%
2008-07-06 - 2008-07-12,75%
2008-07-13 - 2008-07-19,88%
2008-07-20 - 2008-07-26,113%
2008-07-27 - 2008-08-02,175%
2008-08-03 - 2008-08-09,263%
2008-08-10 - 2008-08-16,350%
2008-08-17 - 2008-08-23,563%
2008-08-24 - 2008-08-30,750%
2008-08-31 - 2008-09-06,700%
2008-09-07 - 2008-09-13,488%
2008-09-14 - 2008-09-20,463%
2008-09-21 - 2008-09-27,400%
2008-09-28 - 2008-10-04,388%
2008-10-05 - 2008-10-11,325%
2008-10-12 - 2008-10-18,325%
2008-10-19 - 2008-10-25,363%
2008-10-26 - 2008-11-01,350%
2008-11-02 - 2008-11-08,325%
2008-11-09 - 2008-11-15,288%
2008-11-16 - 2008-11-22,263%
2008-11-23 - 2008-11-29,288%
2008-11-30 - 2008-12-06,213%
2008-12-07 - 2008-12-13,225%
2008-12-14 - 2008-12-20,188%
2008-12-21 - 2008-12-27,138%
2008-12-28 - 2009-01-03,100%
2009-01-04 - 2009-01-10,63%
2009-01-11 - 2009-01-17,50%
2009-01-18 - 2009-01-24,50%
2009-01-25 - 2009-01-31,50%
2009-02-01 - 2009-02-07,63%
2009-02-08 - 2009-02-14,75%
2009-02-15 - 2009-02-21,88%
2009-02-22 - 2009-02-28,125%
2009-03-01 - 2009-03-07,138%
2009-03-08 - 2009-03-14,175%
2009-03-15 - 2009-03-21,175%
2009-03-22 - 2009-03-28,175%
2009-03-29 - 2009-04-04,163%
2009-04-05 - 2009-04-11,163%
2009-04-12 - 2009-04-18,125%
2009-04-19 - 2009-04-25,113%
2009-04-26 - 2009-05-02,113%
2009-05-03 - 2009-05-09,113%
2009-05-10 - 2009-05-16,113%
2009-05-17 - 2009-05-23,100%
2009-05-24 - 2009-05-30,113%
2009-05-31 - 2009-06-06,100%
2009-06-07 - 2009-06-13,125%
2009-06-14 - 2009-06-20,100%
2009-06-21 - 2009-06-27,100%
2009-06-28 - 2009-07-04,88%
2009-07-05 - 2009-07-11,100%
2009-07-12 - 2009-07-18,100%
2009-07-19 - 2009-07-25,138%
2009-07-26 - 2009-08-01,163%
2009-08-02 - 2009-08-08,200%
2009-08-09 - 2009-08-15,300%
2009-08-16 - 2009-08-22,425%
2009-08-23 - 2009-08-29,600%
2009-08-30 - 2009-09-05,713%
2009-09-06 - 2009-09-12,688%
2009-09-13 - 2009-09-19,500%
2009-09-20 - 2009-09-26,438%
2009-09-27 - 2009-10-03,388%
2009-10-04 - 2009-10-10,375%
2009-10-11 - 2009-10-17,325%
2009-10-18 - 2009-10-24,338%
2009-10-25 - 2009-10-31,350%
2009-11-01 - 2009-11-07,313%
2009-11-08 - 2009-11-14,288%
2009-11-15 - 2009-11-21,300%
2009-11-22 - 2009-11-28,338%
2009-11-29 - 2009-12-05,250%
2009-12-06 - 2009-12-12,250%
2009-12-13 - 2009-12-19,250%
2009-12-20 - 2009-12-26,213%
2009-12-27 - 2010-01-02,150%
2010-01-03 - 2010-01-09,113%
2010-01-10 - 2010-01-16,63%
2010-01-17 - 2010-01-23,50%
2010-01-24 - 2010-01-30,63%
2010-01-31 - 2010-02-06,63%
2010-02-07 - 2010-02-13,88%
2010-02-14 - 2010-02-20,113%
2010-02-21 - 2010-02-27,125%
2010-02-28 - 2010-03-06,150%
2010-03-07 - 2010-03-13,138%
2010-03-14 - 2010-03-20,163%
2010-03-21 - 2010-03-27,188%
2010-03-28 - 2010-04-03,200%
2010-04-04 - 2010-04-10,163%
2010-04-11 - 2010-04-17,113%
2010-04-18 - 2010-04-24,113%
2010-04-25 - 2010-05-01,100%
2010-05-02 - 2010-05-08,88%
2010-05-09 - 2010-05-15,88%
2010-05-16 - 2010-05-22,75%
2010-05-23 - 2010-05-29,63%
2010-05-30 - 2010-06-05,88%
2010-06-06 - 2010-06-12,125%
2010-06-13 - 2010-06-19,150%
2010-06-20 - 2010-06-26,138%
2010-06-27 - 2010-07-03,125%
2010-07-04 - 2010-07-10,100%
2010-07-11 - 2010-07-17,100%
2010-07-18 - 2010-07-24,113%
2010-07-25 - 2010-07-31,150%
2010-08-01 - 2010-08-07,200%
2010-08-08 - 2010-08-14,275%
2010-08-15 - 2010-08-21,450%
2010-08-22 - 2010-08-28,650%
2010-08-29 - 2010-09-04,713%
2010-09-05 - 2010-09-11,713%
2010-09-12 - 2010-09-18,513%
2010-09-19 - 2010-09-25,463%
2010-09-26 - 2010-10-02,400%
2010-10-03 - 2010-10-09,425%
2010-10-10 - 2010-10-16,413%
2010-10-17 - 2010-10-23,438%
2010-10-24 - 2010-10-30,413%
2010-10-31 - 2010-11-06,375%
2010-11-07 - 2010-11-13,363%
2010-11-14 - 2010-11-20,325%
2010-11-21 - 2010-11-27,388%
2010-11-28 - 2010-12-04,300%
2010-12-05 - 2010-12-11,288%
2010-12-12 - 2010-12-18,275%
2010-12-19 - 2010-12-25,238%
2010-12-26 - 2011-01-01,188%
