Web Search Interest
Hong Kong; 2004 - present

Interest over time
Week,Search Engines
2006-02-05 - 2006-02-11,+36%
2006-02-12 - 2006-02-18,+18%
2006-02-19 - 2006-02-25,+23%
2006-02-26 - 2006-03-04,+14%
2006-03-05 - 2006-03-11,+50%
2006-03-12 - 2006-03-18,+41%
2006-03-19 - 2006-03-25,+14%
2006-03-26 - 2006-04-01,+18%
2006-04-02 - 2006-04-08,+23%
2006-04-09 - 2006-04-15,+23%
2006-04-16 - 2006-04-22,+27%
2006-04-23 - 2006-04-29,+5%
2006-04-30 - 2006-05-06,+32%
2006-05-07 - 2006-05-13,+23%
2006-05-14 - 2006-05-20,+9%
2006-05-21 - 2006-05-27,+23%
2006-05-28 - 2006-06-03,+27%
2006-06-04 - 2006-06-10,+18%
2006-06-11 - 2006-06-17,+14%
2006-06-18 - 2006-06-24,+18%
2006-06-25 - 2006-07-01,+9%
2006-07-02 - 2006-07-08,+0%
2006-07-09 - 2006-07-15,+27%
2006-07-16 - 2006-07-22,+14%
2006-07-23 - 2006-07-29,+32%
2006-07-30 - 2006-08-05,+14%
2006-08-06 - 2006-08-12,+27%
2006-08-13 - 2006-08-19,+9%
2006-08-20 - 2006-08-26,+23%
2006-08-27 - 2006-09-02,+18%
2006-09-03 - 2006-09-09,+14%
2006-09-10 - 2006-09-16,+14%
2006-09-17 - 2006-09-23,+32%
2006-09-24 - 2006-09-30,+32%
2006-10-01 - 2006-10-07,+9%
2006-10-08 - 2006-10-14,+18%
2006-10-15 - 2006-10-21,+23%
2006-10-22 - 2006-10-28,+0%
2006-10-29 - 2006-11-04,+5%
2006-11-05 - 2006-11-11,+5%
2006-11-12 - 2006-11-18,+23%
2006-11-19 - 2006-11-25,+18%
2006-11-26 - 2006-12-02,+14%
2006-12-03 - 2006-12-09,+32%
2006-12-10 - 2006-12-16,+14%
2006-12-17 - 2006-12-23,+14%
2006-12-24 - 2006-12-30,+14%
2006-12-31 - 2007-01-06,+9%
2007-01-07 - 2007-01-13,+0%
2007-01-14 - 2007-01-20,+5%
2007-01-21 - 2007-01-27,+9%
2007-01-28 - 2007-02-03,+18%
2007-02-04 - 2007-02-10,+5%
2007-02-11 - 2007-02-17,+9%
2007-02-18 - 2007-02-24,+23%
2007-02-25 - 2007-03-03,+5%
2007-03-04 - 2007-03-10,+14%
2007-03-11 - 2007-03-17,+5%
2007-03-18 - 2007-03-24,+23%
2007-03-25 - 2007-03-31,+9%
2007-04-01 - 2007-04-07,+14%
2007-04-08 - 2007-04-14,+9%
2007-04-15 - 2007-04-21,-9%
2007-04-22 - 2007-04-28,+9%
2007-04-29 - 2007-05-05,+9%
2007-05-06 - 2007-05-12,+5%
2007-05-13 - 2007-05-19,+23%
2007-05-20 - 2007-05-26,+9%
2007-05-27 - 2007-06-02,+18%
2007-06-03 - 2007-06-09,+18%
2007-06-10 - 2007-06-16,+14%
2007-06-17 - 2007-06-23,+14%
2007-06-24 - 2007-06-30,+18%
2007-07-01 - 2007-07-07,+9%
2007-07-08 - 2007-07-14,+0%
2007-07-15 - 2007-07-21,+14%
2007-07-22 - 2007-07-28,+27%
2007-07-29 - 2007-08-04,+27%
2007-08-05 - 2007-08-11,+5%
2007-08-12 - 2007-08-18,+23%
2007-08-19 - 2007-08-25,+18%
2007-08-26 - 2007-09-01,+27%
2007-09-02 - 2007-09-08,+18%
2007-09-09 - 2007-09-15,+18%
2007-09-16 - 2007-09-22,+32%
2007-09-23 - 2007-09-29,+36%
2007-09-30 - 2007-10-06,+23%
2007-10-07 - 2007-10-13,+36%
2007-10-14 - 2007-10-20,+18%
2007-10-21 - 2007-10-27,+18%
2007-10-28 - 2007-11-03,+14%
2007-11-04 - 2007-11-10,+32%
2007-11-11 - 2007-11-17,+18%
2007-11-18 - 2007-11-24,+14%
2007-11-25 - 2007-12-01,+23%
2007-12-02 - 2007-12-08,+9%
2007-12-09 - 2007-12-15,+14%
2007-12-16 - 2007-12-22,+5%
2007-12-23 - 2007-12-29,+0%
2007-12-30 - 2008-01-05,+9%
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,+9%
2008-01-20 - 2008-01-26,+0%
2008-01-27 - 2008-02-02,+18%
2008-02-03 - 2008-02-09,+32%
2008-02-10 - 2008-02-16,+23%
2008-02-17 - 2008-02-23,+14%
2008-02-24 - 2008-03-01,+18%
2008-03-02 - 2008-03-08,+5%
2008-03-09 - 2008-03-15,+23%
2008-03-16 - 2008-03-22,+9%
2008-03-23 - 2008-03-29,+14%
2008-03-30 - 2008-04-05,+23%
2008-04-06 - 2008-04-12,+5%
2008-04-13 - 2008-04-19,+14%
2008-04-20 - 2008-04-26,+14%
2008-04-27 - 2008-05-03,+14%
2008-05-04 - 2008-05-10,+27%
2008-05-11 - 2008-05-17,+18%
2008-05-18 - 2008-05-24,+18%
2008-05-25 - 2008-05-31,+32%
2008-06-01 - 2008-06-07,+18%
2008-06-08 - 2008-06-14,+14%
2008-06-15 - 2008-06-21,+32%
2008-06-22 - 2008-06-28,+18%
2008-06-29 - 2008-07-05,+27%
2008-07-06 - 2008-07-12,+32%
2008-07-13 - 2008-07-19,+36%
2008-07-20 - 2008-07-26,+32%
2008-07-27 - 2008-08-02,+32%
2008-08-03 - 2008-08-09,+36%
2008-08-10 - 2008-08-16,+27%
2008-08-17 - 2008-08-23,+14%
2008-08-24 - 2008-08-30,+36%
2008-08-31 - 2008-09-06,+41%
2008-09-07 - 2008-09-13,+36%
2008-09-14 - 2008-09-20,+41%
2008-09-21 - 2008-09-27,+50%
2008-09-28 - 2008-10-04,+41%
2008-10-05 - 2008-10-11,+41%
2008-10-12 - 2008-10-18,+36%
2008-10-19 - 2008-10-25,+41%
2008-10-26 - 2008-11-01,+32%
2008-11-02 - 2008-11-08,+45%
2008-11-09 - 2008-11-15,+32%
2008-11-16 - 2008-11-22,+23%
2008-11-23 - 2008-11-29,+23%
2008-11-30 - 2008-12-06,+32%
2008-12-07 - 2008-12-13,+32%
2008-12-14 - 2008-12-20,+27%
2008-12-21 - 2008-12-27,+27%
2008-12-28 - 2009-01-03,+18%
2009-01-04 - 2009-01-10,+32%
2009-01-11 - 2009-01-17,+27%
2009-01-18 - 2009-01-24,+36%
2009-01-25 - 2009-01-31,+50%
2009-02-01 - 2009-02-07,+36%
2009-02-08 - 2009-02-14,+36%
2009-02-15 - 2009-02-21,+32%
2009-02-22 - 2009-02-28,+32%
2009-03-01 - 2009-03-07,+32%
2009-03-08 - 2009-03-14,+23%
2009-03-15 - 2009-03-21,+41%
2009-03-22 - 2009-03-28,+32%
2009-03-29 - 2009-04-04,+32%
2009-04-05 - 2009-04-11,+41%
2009-04-12 - 2009-04-18,+32%
2009-04-19 - 2009-04-25,+32%
2009-04-26 - 2009-05-02,+36%
2009-05-03 - 2009-05-09,+36%
2009-05-10 - 2009-05-16,+27%
2009-05-17 - 2009-05-23,+41%
2009-05-24 - 2009-05-30,+36%
2009-05-31 - 2009-06-06,+27%
2009-06-07 - 2009-06-13,+36%
2009-06-14 - 2009-06-20,+23%
2009-06-21 - 2009-06-27,+36%
2009-06-28 - 2009-07-04,+23%
2009-07-05 - 2009-07-11,+41%
2009-07-12 - 2009-07-18,+14%
2009-07-19 - 2009-07-25,+23%
2009-07-26 - 2009-08-01,+18%
2009-08-02 - 2009-08-08,+18%
2009-08-09 - 2009-08-15,+32%
2009-08-16 - 2009-08-22,+32%
2009-08-23 - 2009-08-29,+32%
2009-08-30 - 2009-09-05,+23%
2009-09-06 - 2009-09-12,+18%
2009-09-13 - 2009-09-19,+32%
2009-09-20 - 2009-09-26,+32%
2009-09-27 - 2009-10-03,+59%
2009-10-04 - 2009-10-10,+50%
2009-10-11 - 2009-10-17,+36%
2009-10-18 - 2009-10-24,+36%
2009-10-25 - 2009-10-31,+41%
2009-11-01 - 2009-11-07,+50%
2009-11-08 - 2009-11-14,+32%
2009-11-15 - 2009-11-21,+41%
2009-11-22 - 2009-11-28,+36%
2009-11-29 - 2009-12-05,+41%
2009-12-06 - 2009-12-12,+50%
2009-12-13 - 2009-12-19,+36%
2009-12-20 - 2009-12-26,+55%
2009-12-27 - 2010-01-02,+41%
2010-01-03 - 2010-01-09,+55%
2010-01-10 - 2010-01-16,+100%
2010-01-17 - 2010-01-23,+59%
2010-01-24 - 2010-01-30,+59%
2010-01-31 - 2010-02-06,+45%
2010-02-07 - 2010-02-13,+59%
2010-02-14 - 2010-02-20,+36%
2010-02-21 - 2010-02-27,+36%
2010-02-28 - 2010-03-06,+45%
2010-03-07 - 2010-03-13,+59%
2010-03-14 - 2010-03-20,+50%
2010-03-21 - 2010-03-27,+68%
2010-03-28 - 2010-04-03,+45%
2010-04-04 - 2010-04-10,+45%
2010-04-11 - 2010-04-17,+32%
2010-04-18 - 2010-04-24,+41%
2010-04-25 - 2010-05-01,+55%
2010-05-02 - 2010-05-08,+41%
2010-05-09 - 2010-05-15,+45%
2010-05-16 - 2010-05-22,+55%
2010-05-23 - 2010-05-29,+59%
2010-05-30 - 2010-06-05,+59%
2010-06-06 - 2010-06-12,+41%
2010-06-13 - 2010-06-19,+45%
2010-06-20 - 2010-06-26,+32%
2010-06-27 - 2010-07-03,+45%
2010-07-04 - 2010-07-10,+59%
2010-07-11 - 2010-07-17,+32%
2010-07-18 - 2010-07-24,+27%
2010-07-25 - 2010-07-31,+23%
2010-08-01 - 2010-08-07,+27%
2010-08-08 - 2010-08-14,+36%
2010-08-15 - 2010-08-21,+27%
2010-08-22 - 2010-08-28,+36%
2010-08-29 - 2010-09-04,+41%
2010-09-05 - 2010-09-11,+59%
2010-09-12 - 2010-09-18,+45%
2010-09-19 - 2010-09-25,+41%
2010-09-26 - 2010-10-02,+36%
2010-10-03 - 2010-10-09,+77%
2010-10-10 - 2010-10-16,+50%
2010-10-17 - 2010-10-23,+50%
2010-10-24 - 2010-10-30,+45%
2010-10-31 - 2010-11-06,+36%
2010-11-07 - 2010-11-13,+36%
2010-11-14 - 2010-11-20,+23%
2010-11-21 - 2010-11-27,+36%
2010-11-28 - 2010-12-04,+32%
2010-12-05 - 2010-12-11,+50%
2010-12-12 - 2010-12-18,+41%
2010-12-19 - 2010-12-25,+36%
2010-12-26 - 2011-01-01,+36%
2011-01-02 - 2011-01-08,+32%
2011-01-09 - 2011-01-15,+32%
2011-01-16 - 2011-01-22,+41%
2011-01-23 - 2011-01-29,+36%
2011-01-30 - 2011-02-05,+36%
2011-02-06 - 2011-02-12,+36%
2011-02-13 - 2011-02-19,+41%
2011-02-20 - 2011-02-26,+41%
2011-02-27 - 2011-03-05,+32%
2011-03-06 - 2011-03-12,+45%
2011-03-13 - 2011-03-19,+41%
2011-03-20 - 2011-03-26,+45%
2011-03-27 - 2011-04-02,+45%
2011-04-03 - 2011-04-09,+45%
2011-04-10 - 2011-04-16,+41%
2011-04-17 - 2011-04-23,+36%
2011-04-24 - 2011-04-30,+41%
2011-05-01 - 2011-05-07,+45%
2011-05-08 - 2011-05-14,+45%
2011-05-15 - 2011-05-21,+45%
2011-05-22 - 2011-05-28,+50%
2011-05-29 - 2011-06-04,+41%
2011-06-05 - 2011-06-11,+55%
2011-06-12 - 2011-06-18,+59%
2011-06-19 - 2011-06-25,+50%
2011-06-26 - 2011-07-02,+127%
2011-07-03 - 2011-07-09,+182%
2011-07-10 - 2011-07-16,+355%
2011-07-17 - 2011-07-23,+205%
2011-07-24 - 2011-07-30,+132%
2011-07-31 - 2011-08-06,+127%
2011-08-07 - 2011-08-13,+100%
2011-08-14 - 2011-08-20,+82%
2011-08-21 - 2011-08-27,+73%
2011-08-28 - 2011-09-03,+68%
2011-09-04 - 2011-09-10,+73%
2011-09-11 - 2011-09-17,+64%
2011-09-18 - 2011-09-24,+91%
2011-09-25 - 2011-10-01,+95%
2011-10-02 - 2011-10-08,+77%
2011-10-09 - 2011-10-15,+77%
2011-10-16 - 2011-10-22,+64%
2011-10-23 - 2011-10-29,+64%
2011-10-30 - 2011-11-05,+50%
2011-11-06 - 2011-11-12,+55%
2011-11-13 - 2011-11-19,+59%
2011-11-20 - 2011-11-26,+45%
2011-11-27 - 2011-12-03,+50%
2011-12-04 - 2011-12-10,+55%
2011-12-11 - 2011-12-17,+45%
2011-12-18 - 2011-12-24,+64%
2011-12-25 - 2011-12-31,+64%
2012-01-01 - 2012-01-07,+55%
2012-01-08 - 2012-01-14,+64%
2012-01-15 - 2012-01-21,+55%
2012-01-22 - 2012-01-28,+68%
2012-01-29 - 2012-02-04,+55%
2012-02-05 - 2012-02-11,+50%
2012-02-12 - 2012-02-18,+59%
2012-02-19 - 2012-02-25,+55%
2012-02-26 - 2012-03-03,+45%
2012-03-04 - 2012-03-10,+50%
2012-03-11 - 2012-03-17,+55%
2012-03-18 - 2012-03-24,+55%
2012-03-25 - 2012-03-31,+50%
2012-04-01 - 2012-04-07,+59%
2012-04-08 - 2012-04-14,+59%
2012-04-15 - 2012-04-21,+64%
2012-04-22 - 2012-04-28,+59%
2012-04-29 - 2012-05-05,+55%
2012-05-06 - 2012-05-12,+59%
2012-05-13 - 2012-05-19,+59%
2012-05-20 - 2012-05-26,+73%
2012-05-27 - 2012-06-02,+73%
2012-06-03 - 2012-06-09,+64%
2012-06-10 - 2012-06-16,+59%
2012-06-17 - 2012-06-23,+59%
2012-06-24 - 2012-06-30,+55%
2012-07-01 - 2012-07-07,+45%
2012-07-08 - 2012-07-14,+55%
2012-07-15 - 2012-07-21,+55%
2012-07-22 - 2012-07-28,+50%
2012-07-29 - 2012-08-04,+45%
2012-08-05 - 2012-08-11,+64%
2012-08-12 - 2012-08-18,+45%
2012-08-19 - 2012-08-25,+50%
2012-08-26 - 2012-09-01,+50%
2012-09-02 - 2012-09-08,+50%
2012-09-09 - 2012-09-15,+55%
2012-09-16 - 2012-09-22,+50%
2012-09-23 - 2012-09-29,+59%
2012-09-30 - 2012-10-06,+68%
2012-10-07 - 2012-10-13,+64%
2012-10-14 - 2012-10-20,+73%
2012-10-21 - 2012-10-27,+77%
2012-10-28 - 2012-11-03,+73%
2012-11-04 - 2012-11-10,+73%
2012-11-11 - 2012-11-17,+77%
2012-11-18 - 2012-11-24,+86%
2012-11-25 - 2012-12-01, 



Top searches
google,100
baidu,25
search,10
google+,5
百度,5
曉,5
search engine,5
google search,5
google plus,5
搜索,0
reader google,0
百度一下,0
按鍵精靈,0
goole,0
goog,0
baidu 百度,0
搜狗,0
googl,0
google +,0
sogou,0



Rising searches
google plus,Breakout
google+,Breakout
reader google,Breakout
百度,Breakout
百度一下,Breakout
baidu,+950%
google,+450%
曉,+110%
google search,+100%
搜索,+70%



