Web Search Interest
United States; 2004 - present

Interest over time
Week,Insurance
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,-3%
2004-01-18 - 2004-01-24,-2%
2004-01-25 - 2004-01-31,-3%
2004-02-01 - 2004-02-07,-8%
2004-02-08 - 2004-02-14,-6%
2004-02-15 - 2004-02-21,-9%
2004-02-22 - 2004-02-28,-8%
2004-02-29 - 2004-03-06,-4%
2004-03-07 - 2004-03-13,-9%
2004-03-14 - 2004-03-20,-8%
2004-03-21 - 2004-03-27,-18%
2004-03-28 - 2004-04-03,-6%
2004-04-04 - 2004-04-10,-13%
2004-04-11 - 2004-04-17,-4%
2004-04-18 - 2004-04-24,-9%
2004-04-25 - 2004-05-01,-9%
2004-05-02 - 2004-05-08,-5%
2004-05-09 - 2004-05-15,-4%
2004-05-16 - 2004-05-22,-4%
2004-05-23 - 2004-05-29,-4%
2004-05-30 - 2004-06-05,-6%
2004-06-06 - 2004-06-12,+3%
2004-06-13 - 2004-06-19,+1%
2004-06-20 - 2004-06-26,+2%
2004-06-27 - 2004-07-03,+2%
2004-07-04 - 2004-07-10,+0%
2004-07-11 - 2004-07-17,+4%
2004-07-18 - 2004-07-24,+6%
2004-07-25 - 2004-07-31,+2%
2004-08-01 - 2004-08-07,+2%
2004-08-08 - 2004-08-14,+2%
2004-08-15 - 2004-08-21,+1%
2004-08-22 - 2004-08-28,+3%
2004-08-29 - 2004-09-04,-1%
2004-09-05 - 2004-09-11,-5%
2004-09-12 - 2004-09-18,-2%
2004-09-19 - 2004-09-25,-5%
2004-09-26 - 2004-10-02,-4%
2004-10-03 - 2004-10-09,-9%
2004-10-10 - 2004-10-16,-10%
2004-10-17 - 2004-10-23,-5%
2004-10-24 - 2004-10-30,-5%
2004-10-31 - 2004-11-06,-8%
2004-11-07 - 2004-11-13,-14%
2004-11-14 - 2004-11-20,-6%
2004-11-21 - 2004-11-27,-25%
2004-11-28 - 2004-12-04,-11%
2004-12-05 - 2004-12-11,-15%
2004-12-12 - 2004-12-18,-13%
2004-12-19 - 2004-12-25,-24%
2004-12-26 - 2005-01-01,-12%
2005-01-02 - 2005-01-08,+0%
2005-01-09 - 2005-01-15,-1%
2005-01-16 - 2005-01-22,-5%
2005-01-23 - 2005-01-29,-5%
2005-01-30 - 2005-02-05,-4%
2005-02-06 - 2005-02-12,-8%
2005-02-13 - 2005-02-19,-5%
2005-02-20 - 2005-02-26,-4%
2005-02-27 - 2005-03-05,-5%
2005-03-06 - 2005-03-12,-5%
2005-03-13 - 2005-03-19,-6%
2005-03-20 - 2005-03-26,-6%
2005-03-27 - 2005-04-02,-9%
