Web Search Interest
France; 2004 - present

Interest over time
Week,Sports News
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,-9%
2004-01-18 - 2004-01-24,-12%
2004-01-25 - 2004-01-31,+6%
2004-02-01 - 2004-02-07,+9%
2004-02-08 - 2004-02-14,+0%
2004-02-15 - 2004-02-21,+9%
2004-02-22 - 2004-02-28,+0%
2004-02-29 - 2004-03-06,+9%
2004-03-07 - 2004-03-13,+56%
2004-03-14 - 2004-03-20,+3%
2004-03-21 - 2004-03-27,+22%
2004-03-28 - 2004-04-03,-3%
2004-04-04 - 2004-04-10,+34%
2004-04-11 - 2004-04-17,+13%
2004-04-18 - 2004-04-24,+13%
2004-04-25 - 2004-05-01,+9%
2004-05-02 - 2004-05-08,+34%
2004-05-09 - 2004-05-15,+16%
2004-05-16 - 2004-05-22,+41%
2004-05-23 - 2004-05-29,+44%
2004-05-30 - 2004-06-05,+34%
2004-06-06 - 2004-06-12,+72%
2004-06-13 - 2004-06-19,+134%
2004-06-20 - 2004-06-26,+169%
2004-06-27 - 2004-07-03,+100%
2004-07-04 - 2004-07-10,+125%
2004-07-11 - 2004-07-17,+63%
2004-07-18 - 2004-07-24,+56%
2004-07-25 - 2004-07-31,+31%
2004-08-01 - 2004-08-07,+47%
2004-08-08 - 2004-08-14,+50%
2004-08-15 - 2004-08-21,+28%
2004-08-22 - 2004-08-28,+69%
2004-08-29 - 2004-09-04,+28%
2004-09-05 - 2004-09-11,+19%
2004-09-12 - 2004-09-18,+50%
2004-09-19 - 2004-09-25,+31%
2004-09-26 - 2004-10-02,+31%
2004-10-03 - 2004-10-09,+16%
2004-10-10 - 2004-10-16,+19%
2004-10-17 - 2004-10-23,+25%
2004-10-24 - 2004-10-30,+25%
2004-10-31 - 2004-11-06,+19%
2004-11-07 - 2004-11-13,+22%
2004-11-14 - 2004-11-20,+19%
2004-11-21 - 2004-11-27,+19%
2004-11-28 - 2004-12-04,+19%
2004-12-05 - 2004-12-11,+31%
2004-12-12 - 2004-12-18,+22%
2004-12-19 - 2004-12-25,+6%
2004-12-26 - 2005-01-01,+0%
2005-01-02 - 2005-01-08,+0%
2005-01-09 - 2005-01-15,+16%
2005-01-16 - 2005-01-22,+25%
2005-01-23 - 2005-01-29,+22%
2005-01-30 - 2005-02-05,+25%
2005-02-06 - 2005-02-12,+19%
2005-02-13 - 2005-02-19,+13%
2005-02-20 - 2005-02-26,+41%
2005-02-27 - 2005-03-05,+9%
2005-03-06 - 2005-03-12,+50%
2005-03-13 - 2005-03-19,+25%
2005-03-20 - 2005-03-26,+6%
2005-03-27 - 2005-04-02,+22%
2005-04-03 - 2005-04-09,+44%
2005-04-10 - 2005-04-16,+38%
2005-04-17 - 2005-04-23,+34%
2005-04-24 - 2005-04-30,+34%
2005-05-01 - 2005-05-07,+28%
2005-05-08 - 2005-05-14,+22%
2005-05-15 - 2005-05-21,+25%
2005-05-22 - 2005-05-28,+44%
2005-05-29 - 2005-06-04,+28%
2005-06-05 - 2005-06-11,+38%
2005-06-12 - 2005-06-18,+34%
2005-06-19 - 2005-06-25,+34%
2005-06-26 - 2005-07-02,+22%
2005-07-03 - 2005-07-09,+13%
2005-07-10 - 2005-07-16,+28%
2005-07-17 - 2005-07-23,+19%
2005-07-24 - 2005-07-30,+28%
2005-07-31 - 2005-08-06,+19%
2005-08-07 - 2005-08-13,+28%
