Web Search Interest
United States; 2004 - present

Interest over time
Week,Puzzles & Brainteasers
2005-07-10 - 2005-07-16,+6%
2005-07-17 - 2005-07-23,+0%
2005-07-24 - 2005-07-30,+0%
2005-07-31 - 2005-08-06,+4%
2005-08-07 - 2005-08-13,+8%
2005-08-14 - 2005-08-20,+4%
2005-08-21 - 2005-08-27,+14%
2005-08-28 - 2005-09-03,+14%
2005-09-04 - 2005-09-10,+18%
2005-09-11 - 2005-09-17,+22%
2005-09-18 - 2005-09-24,+22%
2005-09-25 - 2005-10-01,+36%
2005-10-02 - 2005-10-08,+40%
2005-10-09 - 2005-10-15,+42%
2005-10-16 - 2005-10-22,+52%
2005-10-23 - 2005-10-29,+60%
2005-10-30 - 2005-11-05,+56%
2005-11-06 - 2005-11-12,+58%
2005-11-13 - 2005-11-19,+58%
2005-11-20 - 2005-11-26,+84%
2005-11-27 - 2005-12-03,+74%
2005-12-04 - 2005-12-10,+72%
2005-12-11 - 2005-12-17,+86%
2005-12-18 - 2005-12-24,+100%
2005-12-25 - 2005-12-31,+88%
2006-01-01 - 2006-01-07,+80%
2006-01-08 - 2006-01-14,+74%
2006-01-15 - 2006-01-21,+76%
2006-01-22 - 2006-01-28,+74%
2006-01-29 - 2006-02-04,+76%
2006-02-05 - 2006-02-11,+74%
2006-02-12 - 2006-02-18,+70%
2006-02-19 - 2006-02-25,+70%
2006-02-26 - 2006-03-04,+64%
2006-03-05 - 2006-03-11,+72%
2006-03-12 - 2006-03-18,+66%
2006-03-19 - 2006-03-25,+70%
2006-03-26 - 2006-04-01,+68%
2006-04-02 - 2006-04-08,+68%
2006-04-09 - 2006-04-15,+66%
2006-04-16 - 2006-04-22,+70%
2006-04-23 - 2006-04-29,+74%
2006-04-30 - 2006-05-06,+66%
2006-05-07 - 2006-05-13,+74%
2006-05-14 - 2006-05-20,+72%
2006-05-21 - 2006-05-27,+72%
2006-05-28 - 2006-06-03,+64%
2006-06-04 - 2006-06-10,+58%
2006-06-11 - 2006-06-17,+50%
2006-06-18 - 2006-06-24,+46%
2006-06-25 - 2006-07-01,+46%
2006-07-02 - 2006-07-08,+44%
2006-07-09 - 2006-07-15,+38%
2006-07-16 - 2006-07-22,+38%
2006-07-23 - 2006-07-29,+38%
2006-07-30 - 2006-08-05,+38%
2006-08-06 - 2006-08-12,+32%
2006-08-13 - 2006-08-19,+34%
2006-08-20 - 2006-08-26,+34%
2006-08-27 - 2006-09-02,+34%
2006-09-03 - 2006-09-09,+40%
2006-09-10 - 2006-09-16,+42%
2006-09-17 - 2006-09-23,+38%
2006-09-24 - 2006-09-30,+42%
2006-10-01 - 2006-10-07,+40%
2006-10-08 - 2006-10-14,+46%
2006-10-15 - 2006-10-21,+54%
2006-10-22 - 2006-10-28,+54%
2006-10-29 - 2006-11-04,+64%
2006-11-05 - 2006-11-11,+54%
2006-11-12 - 2006-11-18,+64%
2006-11-19 - 2006-11-25,+78%
2006-11-26 - 2006-12-02,+66%
2006-12-03 - 2006-12-09,+74%
2006-12-10 - 2006-12-16,+78%
2006-12-17 - 2006-12-23,+98%
2006-12-24 - 2006-12-30,+82%
2006-12-31 - 2007-01-06,+68%
2007-01-07 - 2007-01-13,+62%
2007-01-14 - 2007-01-20,+58%
2007-01-21 - 2007-01-27,+62%
2007-01-28 - 2007-02-03,+66%
2007-02-04 - 2007-02-10,+62%
2007-02-11 - 2007-02-17,+60%
2007-02-18 - 2007-02-24,+62%
2007-02-25 - 2007-03-03,+66%
2007-03-04 - 2007-03-10,+62%
2007-03-11 - 2007-03-17,+60%
2007-03-18 - 2007-03-24,+62%
2007-03-25 - 2007-03-31,+54%
2007-04-01 - 2007-04-07,+58%
2007-04-08 - 2007-04-14,+60%
2007-04-15 - 2007-04-21,+58%
2007-04-22 - 2007-04-28,+58%
2007-04-29 - 2007-05-05,+54%
2007-05-06 - 2007-05-12,+58%
2007-05-13 - 2007-05-19,+58%
2007-05-20 - 2007-05-26,+56%
2007-05-27 - 2007-06-02,+50%
