Web Search Interest
Italy; 2004 - present

Interest over time
Week,Astronomy
2010-08-15 - 2010-08-21,-67%
2010-08-22 - 2010-08-28,-68%
2010-08-29 - 2010-09-04,-73%
2010-09-05 - 2010-09-11,-70%
2010-09-12 - 2010-09-18,-71%
2010-09-19 - 2010-09-25,-59%
2010-09-26 - 2010-10-02,-65%
2010-10-03 - 2010-10-09,-65%
2010-10-10 - 2010-10-16,-67%
2010-10-17 - 2010-10-23,-65%
2010-10-24 - 2010-10-30,-68%
2010-10-31 - 2010-11-06,-64%
2010-11-07 - 2010-11-13,-67%
2010-11-14 - 2010-11-20,-62%
2010-11-21 - 2010-11-27,-67%
2010-11-28 - 2010-12-04,-65%
2010-12-05 - 2010-12-11,-67%
2010-12-12 - 2010-12-18,-67%
2010-12-19 - 2010-12-25,-64%
2010-12-26 - 2011-01-01,-70%
2011-01-02 - 2011-01-08,-32%
2011-01-09 - 2011-01-15,-65%
2011-01-16 - 2011-01-22,-62%
2011-01-23 - 2011-01-29,-65%
2011-01-30 - 2011-02-05,-67%
2011-02-06 - 2011-02-12,-65%
2011-02-13 - 2011-02-19,-67%
2011-02-20 - 2011-02-26,-68%
2011-02-27 - 2011-03-05,-68%
2011-03-06 - 2011-03-12,-67%
2011-03-13 - 2011-03-19,-62%
2011-03-20 - 2011-03-26,-64%
2011-03-27 - 2011-04-02,-70%
2011-04-03 - 2011-04-09,-68%
2011-04-10 - 2011-04-16,-68%
2011-04-17 - 2011-04-23,-71%
2011-04-24 - 2011-04-30,-71%
2011-05-01 - 2011-05-07,-71%
2011-05-08 - 2011-05-14,-67%
2011-05-15 - 2011-05-21,-70%
2011-05-22 - 2011-05-28,-67%
2011-05-29 - 2011-06-04,-70%
2011-06-05 - 2011-06-11,-68%
2011-06-12 - 2011-06-18,+21%
2011-06-19 - 2011-06-25,-65%
2011-06-26 - 2011-07-02,-65%
2011-07-03 - 2011-07-09,-71%
2011-07-10 - 2011-07-16,-70%
2011-07-17 - 2011-07-23,-73%
2011-07-24 - 2011-07-30,-70%
2011-07-31 - 2011-08-06,-68%
2011-08-07 - 2011-08-13,-33%
2011-08-14 - 2011-08-20,-62%
2011-08-21 - 2011-08-27,-65%
2011-08-28 - 2011-09-03,-68%
2011-09-04 - 2011-09-10,-71%
2011-09-11 - 2011-09-17,-67%
2011-09-18 - 2011-09-24,-50%
2011-09-25 - 2011-10-01,-62%
2011-10-02 - 2011-10-08,-58%
2011-10-09 - 2011-10-15,-62%
2011-10-16 - 2011-10-22,-67%
2011-10-23 - 2011-10-29,-68%
2011-10-30 - 2011-11-05,-67%
2011-11-06 - 2011-11-12,-56%
2011-11-13 - 2011-11-19,-65%
2011-11-20 - 2011-11-26,-65%
2011-11-27 - 2011-12-03,-65%
2011-12-04 - 2011-12-10,-59%
2011-12-11 - 2011-12-17,-65%
2011-12-18 - 2011-12-24,-62%
2011-12-25 - 2011-12-31,-67%
2012-01-01 - 2012-01-07,-65%
2012-01-08 - 2012-01-14,-62%
2012-01-15 - 2012-01-21,-67%
2012-01-22 - 2012-01-28,-64%
2012-01-29 - 2012-02-04,-68%
2012-02-05 - 2012-02-11,-70%
2012-02-12 - 2012-02-18,-68%
2012-02-19 - 2012-02-25,-65%
2012-02-26 - 2012-03-03,-61%
2012-03-04 - 2012-03-10,-58%
2012-03-11 - 2012-03-17,-56%
2012-03-18 - 2012-03-24,-52%
2012-03-25 - 2012-03-31,-64%
2012-04-01 - 2012-04-07,-68%
2012-04-08 - 2012-04-14,-68%
2012-04-15 - 2012-04-21,-70%
2012-04-22 - 2012-04-28,-68%
2012-04-29 - 2012-05-05,-65%
2012-05-06 - 2012-05-12,-65%
2012-05-13 - 2012-05-19,-67%
2012-05-20 - 2012-05-26,-65%
2012-05-27 - 2012-06-02,-68%
2012-06-03 - 2012-06-09,-50%
2012-06-10 - 2012-06-16,-70%
2012-06-17 - 2012-06-23,-68%
2012-06-24 - 2012-06-30,-67%
2012-07-01 - 2012-07-07,-68%
2012-07-08 - 2012-07-14,-70%
2012-07-15 - 2012-07-21,-68%
2012-07-22 - 2012-07-28,-70%
2012-07-29 - 2012-08-04,-65%
2012-08-05 - 2012-08-11,-26%
2012-08-12 - 2012-08-18,-55%
2012-08-19 - 2012-08-25,-64%
2012-08-26 - 2012-09-01,-65%
2012-09-02 - 2012-09-08,-70%
2012-09-09 - 2012-09-15,-70%
2012-09-16 - 2012-09-22,-64%
2012-09-23 - 2012-09-29,-65%
2012-09-30 - 2012-10-06,-67%
2012-10-07 - 2012-10-13,-67%
2012-10-14 - 2012-10-20,-64%
2012-10-21 - 2012-10-27,-65%
2012-10-28 - 2012-11-03,-68%
2012-11-04 - 2012-11-10,-50%
2012-11-11 - 2012-11-17,-58%
2012-11-18 - 2012-11-24,-62%
2012-11-25 - 2012-12-01, 



Top searches
luna,100
pianeta,65
terra,50
venere,50
cometa,45
pianeti,45
sistema solare,45
eclissi,40
marte,25
galileo,20
giove,20
universo,20
mclink,15
astronomia,15
san lorenzo,15
eclissi luna,15
la luna,15
tramonto,15
costellazioni,15
luna piena,15



Rising searches
tramonto,+170%
universo,+130%
luna piena,+110%
eclissi luna,+100%
san lorenzo,+100%
luna,+70%
eclissi,+60%
la luna,+60%
giove,+50%
pianeta,+50%



