Web Search Interest
France; 2004 - present

Interest over time
Week,Family-Oriented Games & Activities
2005-05-01 - 2005-05-07,+52%
2005-05-08 - 2005-05-14,+43%
2005-05-15 - 2005-05-21,+62%
2005-05-22 - 2005-05-28,+52%
2005-05-29 - 2005-06-04,+52%
2005-06-05 - 2005-06-11,+52%
2005-06-12 - 2005-06-18,+52%
2005-06-19 - 2005-06-25,+57%
2005-06-26 - 2005-07-02,+67%
2005-07-03 - 2005-07-09,+62%
2005-07-10 - 2005-07-16,+57%
2005-07-17 - 2005-07-23,+52%
2005-07-24 - 2005-07-30,+48%
2005-07-31 - 2005-08-06,+62%
2005-08-07 - 2005-08-13,+48%
2005-08-14 - 2005-08-20,+43%
2005-08-21 - 2005-08-27,+52%
2005-08-28 - 2005-09-03,+38%
2005-09-04 - 2005-09-10,+43%
2005-09-11 - 2005-09-17,+43%
2005-09-18 - 2005-09-24,+48%
2005-09-25 - 2005-10-01,+52%
2005-10-02 - 2005-10-08,+52%
2005-10-09 - 2005-10-15,+52%
2005-10-16 - 2005-10-22,+62%
2005-10-23 - 2005-10-29,+71%
2005-10-30 - 2005-11-05,+57%
2005-11-06 - 2005-11-12,+67%
2005-11-13 - 2005-11-19,+57%
2005-11-20 - 2005-11-26,+57%
2005-11-27 - 2005-12-03,+57%
2005-12-04 - 2005-12-10,+62%
2005-12-11 - 2005-12-17,+57%
2005-12-18 - 2005-12-24,+90%
2005-12-25 - 2005-12-31,+57%
2006-01-01 - 2006-01-07,+43%
2006-01-08 - 2006-01-14,+48%
2006-01-15 - 2006-01-21,+48%
2006-01-22 - 2006-01-28,+52%
2006-01-29 - 2006-02-04,+62%
2006-02-05 - 2006-02-11,+52%
2006-02-12 - 2006-02-18,+76%
2006-02-19 - 2006-02-25,+67%
2006-02-26 - 2006-03-04,+62%
2006-03-05 - 2006-03-11,+62%
2006-03-12 - 2006-03-18,+67%
2006-03-19 - 2006-03-25,+62%
2006-03-26 - 2006-04-01,+71%
2006-04-02 - 2006-04-08,+71%
2006-04-09 - 2006-04-15,+76%
2006-04-16 - 2006-04-22,+67%
2006-04-23 - 2006-04-29,+67%
2006-04-30 - 2006-05-06,+57%
2006-05-07 - 2006-05-13,+62%
2006-05-14 - 2006-05-20,+57%
2006-05-21 - 2006-05-27,+71%
2006-05-28 - 2006-06-03,+52%
2006-06-04 - 2006-06-10,+57%
2006-06-11 - 2006-06-17,+62%
2006-06-18 - 2006-06-24,+67%
2006-06-25 - 2006-07-01,+81%
2006-07-02 - 2006-07-08,+67%
2006-07-09 - 2006-07-15,+62%
2006-07-16 - 2006-07-22,+52%
2006-07-23 - 2006-07-29,+57%
2006-07-30 - 2006-08-05,+62%
2006-08-06 - 2006-08-12,+52%
2006-08-13 - 2006-08-19,+71%
2006-08-20 - 2006-08-26,+71%
2006-08-27 - 2006-09-02,+67%
2006-09-03 - 2006-09-09,+57%
2006-09-10 - 2006-09-16,+57%
2006-09-17 - 2006-09-23,+57%
2006-09-24 - 2006-09-30,+62%
2006-10-01 - 2006-10-07,+62%
2006-10-08 - 2006-10-14,+62%
2006-10-15 - 2006-10-21,+76%
2006-10-22 - 2006-10-28,+95%
2006-10-29 - 2006-11-04,+110%
2006-11-05 - 2006-11-11,+71%
2006-11-12 - 2006-11-18,+76%
2006-11-19 - 2006-11-25,+81%
2006-11-26 - 2006-12-02,+81%
2006-12-03 - 2006-12-09,+81%
2006-12-10 - 2006-12-16,+76%
2006-12-17 - 2006-12-23,+90%
2006-12-24 - 2006-12-30,+95%
2006-12-31 - 2007-01-06,+95%
2007-01-07 - 2007-01-13,+57%
2007-01-14 - 2007-01-20,+67%
2007-01-21 - 2007-01-27,+76%
2007-01-28 - 2007-02-03,+90%
2007-02-04 - 2007-02-10,+100%
2007-02-11 - 2007-02-17,+105%
2007-02-18 - 2007-02-24,+129%
2007-02-25 - 2007-03-03,+138%
2007-03-04 - 2007-03-10,+129%
2007-03-11 - 2007-03-17,+124%
2007-03-18 - 2007-03-24,+143%
2007-03-25 - 2007-03-31,+157%
2007-04-01 - 2007-04-07,+167%
2007-04-08 - 2007-04-14,+190%
2007-04-15 - 2007-04-21,+176%
2007-04-22 - 2007-04-28,+167%
2007-04-29 - 2007-05-05,+181%
2007-05-06 - 2007-05-12,+181%
2007-05-13 - 2007-05-19,+190%
2007-05-20 - 2007-05-26,+176%
2007-05-27 - 2007-06-02,+195%
2007-06-03 - 2007-06-09,+181%
2007-06-10 - 2007-06-16,+186%
2007-06-17 - 2007-06-23,+210%
2007-06-24 - 2007-06-30,+224%
2007-07-01 - 2007-07-07,+233%
2007-07-08 - 2007-07-14,+219%
2007-07-15 - 2007-07-21,+219%
2007-07-22 - 2007-07-28,+195%
2007-07-29 - 2007-08-04,+186%
2007-08-05 - 2007-08-11,+190%
2007-08-12 - 2007-08-18,+210%
2007-08-19 - 2007-08-25,+214%
2007-08-26 - 2007-09-01,+210%
2007-09-02 - 2007-09-08,+186%
2007-09-09 - 2007-09-15,+181%
2007-09-16 - 2007-09-22,+181%
2007-09-23 - 2007-09-29,+181%
2007-09-30 - 2007-10-06,+181%
2007-10-07 - 2007-10-13,+190%
2007-10-14 - 2007-10-20,+186%
2007-10-21 - 2007-10-27,+190%
2007-10-28 - 2007-11-03,+295%
2007-11-04 - 2007-11-10,+229%
2007-11-11 - 2007-11-17,+205%
2007-11-18 - 2007-11-24,+257%
2007-11-25 - 2007-12-01,+243%
2007-12-02 - 2007-12-08,+233%
2007-12-09 - 2007-12-15,+243%
2007-12-16 - 2007-12-22,+238%
2007-12-23 - 2007-12-29,+295%
2007-12-30 - 2008-01-05,+281%
2008-01-06 - 2008-01-12,+186%
2008-01-13 - 2008-01-19,+214%
2008-01-20 - 2008-01-26,+229%
2008-01-27 - 2008-02-02,+224%
2008-02-03 - 2008-02-09,+233%
2008-02-10 - 2008-02-16,+238%
2008-02-17 - 2008-02-23,+271%
2008-02-24 - 2008-03-01,+257%
2008-03-02 - 2008-03-08,+248%
2008-03-09 - 2008-03-15,+229%
2008-03-16 - 2008-03-22,+243%
2008-03-23 - 2008-03-29,+248%
2008-03-30 - 2008-04-05,+229%
2008-04-06 - 2008-04-12,+248%
2008-04-13 - 2008-04-19,+267%
2008-04-20 - 2008-04-26,+252%
2008-04-27 - 2008-05-03,+248%
2008-05-04 - 2008-05-10,+243%
2008-05-11 - 2008-05-17,+252%
2008-05-18 - 2008-05-24,+224%
2008-05-25 - 2008-05-31,+229%
2008-06-01 - 2008-06-07,+224%
2008-06-08 - 2008-06-14,+229%
2008-06-15 - 2008-06-21,+243%
2008-06-22 - 2008-06-28,+257%
2008-06-29 - 2008-07-05,+286%
2008-07-06 - 2008-07-12,+262%
2008-07-13 - 2008-07-19,+252%
2008-07-20 - 2008-07-26,+238%
2008-07-27 - 2008-08-02,+233%
2008-08-03 - 2008-08-09,+229%
2008-08-10 - 2008-08-16,+233%
2008-08-17 - 2008-08-23,+233%
2008-08-24 - 2008-08-30,+257%
2008-08-31 - 2008-09-06,+257%
2008-09-07 - 2008-09-13,+219%
2008-09-14 - 2008-09-20,+224%
2008-09-21 - 2008-09-27,+224%
2008-09-28 - 2008-10-04,+229%
2008-10-05 - 2008-10-11,+233%
2008-10-12 - 2008-10-18,+224%
2008-10-19 - 2008-10-25,+224%
2008-10-26 - 2008-11-01,+319%
2008-11-02 - 2008-11-08,+257%
2008-11-09 - 2008-11-15,+262%
2008-11-16 - 2008-11-22,+248%
2008-11-23 - 2008-11-29,+229%
