Web Search Interest
Hong Kong; 2004 - present

Interest over time
Week,Performing Arts
2007-03-04 - 2007-03-10,+22%
2007-03-11 - 2007-03-17,+32%
2007-03-18 - 2007-03-24,+34%
2007-03-25 - 2007-03-31,+28%
2007-04-01 - 2007-04-07,+50%
2007-04-08 - 2007-04-14,+18%
2007-04-15 - 2007-04-21,+14%
2007-04-22 - 2007-04-28,+8%
2007-04-29 - 2007-05-05,+32%
2007-05-06 - 2007-05-12,+16%
2007-05-13 - 2007-05-19,+20%
2007-05-20 - 2007-05-26,+28%
2007-05-27 - 2007-06-02,+16%
2007-06-03 - 2007-06-09,+26%
2007-06-10 - 2007-06-16,+20%
2007-06-17 - 2007-06-23,+12%
2007-06-24 - 2007-06-30,+18%
2007-07-01 - 2007-07-07,+20%
2007-07-08 - 2007-07-14,+30%
2007-07-15 - 2007-07-21,+22%
2007-07-22 - 2007-07-28,+52%
2007-07-29 - 2007-08-04,+48%
2007-08-05 - 2007-08-11,+54%
2007-08-12 - 2007-08-18,+68%
2007-08-19 - 2007-08-25,+60%
2007-08-26 - 2007-09-01,+78%
2007-09-02 - 2007-09-08,+90%
2007-09-09 - 2007-09-15,+62%
2007-09-16 - 2007-09-22,+42%
2007-09-23 - 2007-09-29,+52%
2007-09-30 - 2007-10-06,+68%
2007-10-07 - 2007-10-13,+96%
2007-10-14 - 2007-10-20,+68%
2007-10-21 - 2007-10-27,+60%
2007-10-28 - 2007-11-03,+34%
2007-11-04 - 2007-11-10,+32%
2007-11-11 - 2007-11-17,+40%
2007-11-18 - 2007-11-24,+20%
2007-11-25 - 2007-12-01,+34%
2007-12-02 - 2007-12-08,+30%
2007-12-09 - 2007-12-15,+48%
2007-12-16 - 2007-12-22,+56%
2007-12-23 - 2007-12-29,+56%
2007-12-30 - 2008-01-05,+52%
2008-01-06 - 2008-01-12,+42%
2008-01-13 - 2008-01-19,+32%
2008-01-20 - 2008-01-26,+20%
2008-01-27 - 2008-02-02,+36%
2008-02-03 - 2008-02-09,+52%
