Web Search Interest
Portugal; 2004 - present

Interest over time
Week,Fun & Trivia
2011-08-28 - 2011-09-03,+165%
2011-09-04 - 2011-09-10,+161%
2011-09-11 - 2011-09-17,+126%
2011-09-18 - 2011-09-24,+87%
2011-09-25 - 2011-10-01,+97%
2011-10-02 - 2011-10-08,+113%
2011-10-09 - 2011-10-15,+97%
2011-10-16 - 2011-10-22,+90%
2011-10-23 - 2011-10-29,+94%
2011-10-30 - 2011-11-05,+123%
2011-11-06 - 2011-11-12,+110%
2011-11-13 - 2011-11-19,+106%
2011-11-20 - 2011-11-26,+113%
2011-11-27 - 2011-12-03,+123%
2011-12-04 - 2011-12-10,+129%
2011-12-11 - 2011-12-17,+123%
2011-12-18 - 2011-12-24,+223%
2011-12-25 - 2011-12-31,+187%
2012-01-01 - 2012-01-07,+119%
2012-01-08 - 2012-01-14,+106%
2012-01-15 - 2012-01-21,+123%
2012-01-22 - 2012-01-28,+119%
2012-01-29 - 2012-02-04,+123%
2012-02-05 - 2012-02-11,+132%
2012-02-12 - 2012-02-18,+129%
2012-02-19 - 2012-02-25,+187%
2012-02-26 - 2012-03-03,+119%
2012-03-04 - 2012-03-10,+116%
2012-03-11 - 2012-03-17,+113%
2012-03-18 - 2012-03-24,+129%
2012-03-25 - 2012-03-31,+197%
2012-04-01 - 2012-04-07,+203%
2012-04-08 - 2012-04-14,+123%
2012-04-15 - 2012-04-21,+113%
2012-04-22 - 2012-04-28,+139%
2012-04-29 - 2012-05-05,+152%
2012-05-06 - 2012-05-12,+132%
2012-05-13 - 2012-05-19,+123%
2012-05-20 - 2012-05-26,+116%
2012-05-27 - 2012-06-02,+113%
2012-06-03 - 2012-06-09,+145%
2012-06-10 - 2012-06-16,+132%
2012-06-17 - 2012-06-23,+174%
2012-06-24 - 2012-06-30,+197%
2012-07-01 - 2012-07-07,+206%
2012-07-08 - 2012-07-14,+203%
2012-07-15 - 2012-07-21,+203%
2012-07-22 - 2012-07-28,+190%
2012-07-29 - 2012-08-04,+200%
2012-08-05 - 2012-08-11,+200%
2012-08-12 - 2012-08-18,+206%
2012-08-19 - 2012-08-25,+184%
2012-08-26 - 2012-09-01,+194%
2012-09-02 - 2012-09-08,+184%
2012-09-09 - 2012-09-15,+174%
2012-09-16 - 2012-09-22,+110%
2012-09-23 - 2012-09-29,+113%
2012-09-30 - 2012-10-06,+139%
2012-10-07 - 2012-10-13,+110%
2012-10-14 - 2012-10-20,+123%
2012-10-21 - 2012-10-27,+113%
2012-10-28 - 2012-11-03,+145%
2012-11-04 - 2012-11-10,+123%
2012-11-11 - 2012-11-17,+132%
2012-11-18 - 2012-11-24, 
2012-11-25 - 2012-12-01, 



Top searches
jogos,100
jogos de,80
friv,45
jogos cozinhar,20
jogos de cozinhar,20
stardoll,20
jogos de vestir,20
jogos meninas,15
jogos de meninas,15
teste,10
testes,10
y8,10
barbie,10
flash,5
jogos barbie,5
polly,5
jogos de carros,5
winx,5
jogos da barbie,5
vestir bonecas,5



Rising searches
friv,Breakout
jogos cozinhar,Breakout
jogos de cozinhar,Breakout
jogos de meninas,Breakout
jogos de vestir,Breakout
jogos meninas,Breakout
stardoll,Breakout
y8,Breakout
jogos de,+3,500%
jogos,+1,350%



