Web Search Interest
Spain; 2004 - present

Interest over time
Week,Sports News
2005-08-14 - 2005-08-20,+33%
2005-08-21 - 2005-08-27,+36%
2005-08-28 - 2005-09-03,+33%
2005-09-04 - 2005-09-10,+6%
2005-09-11 - 2005-09-17,+18%
2005-09-18 - 2005-09-24,+12%
2005-09-25 - 2005-10-01,+9%
2005-10-02 - 2005-10-08,+0%
2005-10-09 - 2005-10-15,-3%
2005-10-16 - 2005-10-22,+3%
2005-10-23 - 2005-10-29,+3%
2005-10-30 - 2005-11-05,+6%
2005-11-06 - 2005-11-12,-3%
2005-11-13 - 2005-11-19,+0%
2005-11-20 - 2005-11-26,+24%
2005-11-27 - 2005-12-03,+15%
2005-12-04 - 2005-12-10,+18%
2005-12-11 - 2005-12-17,+15%
2005-12-18 - 2005-12-24,+12%
2005-12-25 - 2005-12-31,+6%
2006-01-01 - 2006-01-07,+6%
2006-01-08 - 2006-01-14,+6%
2006-01-15 - 2006-01-21,+9%
2006-01-22 - 2006-01-28,+9%
2006-01-29 - 2006-02-04,+27%
2006-02-05 - 2006-02-11,+18%
2006-02-12 - 2006-02-18,+21%
2006-02-19 - 2006-02-25,+33%
2006-02-26 - 2006-03-04,+12%
2006-03-05 - 2006-03-11,+30%
2006-03-12 - 2006-03-18,+18%
2006-03-19 - 2006-03-25,+18%
2006-03-26 - 2006-04-01,+9%
2006-04-02 - 2006-04-08,+24%
2006-04-09 - 2006-04-15,+21%
2006-04-16 - 2006-04-22,+30%
2006-04-23 - 2006-04-29,+36%
2006-04-30 - 2006-05-06,+39%
2006-05-07 - 2006-05-13,+24%
2006-05-14 - 2006-05-20,+97%
2006-05-21 - 2006-05-27,+48%
2006-05-28 - 2006-06-03,+42%
2006-06-04 - 2006-06-10,+42%
2006-06-11 - 2006-06-17,+52%
2006-06-18 - 2006-06-24,+42%
2006-06-25 - 2006-07-01,+45%
2006-07-02 - 2006-07-08,+73%
2006-07-09 - 2006-07-15,+85%
2006-07-16 - 2006-07-22,+82%
2006-07-23 - 2006-07-29,+91%
2006-07-30 - 2006-08-05,+76%
2006-08-06 - 2006-08-12,+64%
2006-08-13 - 2006-08-19,+61%
2006-08-20 - 2006-08-26,+79%
2006-08-27 - 2006-09-02,+73%
2006-09-03 - 2006-09-09,+15%
2006-09-10 - 2006-09-16,+18%
2006-09-17 - 2006-09-23,+9%
2006-09-24 - 2006-09-30,+18%
2006-10-01 - 2006-10-07,+9%
2006-10-08 - 2006-10-14,+9%
2006-10-15 - 2006-10-21,+18%
2006-10-22 - 2006-10-28,+27%
2006-10-29 - 2006-11-04,+18%
2006-11-05 - 2006-11-11,+12%
2006-11-12 - 2006-11-18,+21%
2006-11-19 - 2006-11-25,+15%
2006-11-26 - 2006-12-02,+21%
2006-12-03 - 2006-12-09,+39%
2006-12-10 - 2006-12-16,+24%
2006-12-17 - 2006-12-23,+30%
2006-12-24 - 2006-12-30,+6%
2006-12-31 - 2007-01-06,+15%
2007-01-07 - 2007-01-13,+12%
2007-01-14 - 2007-01-20,+21%
2007-01-21 - 2007-01-27,+21%
2007-01-28 - 2007-02-03,+30%
2007-02-04 - 2007-02-10,+18%
2007-02-11 - 2007-02-17,+42%
2007-02-18 - 2007-02-24,+30%
2007-02-25 - 2007-03-03,+30%
2007-03-04 - 2007-03-10,+42%
2007-03-11 - 2007-03-17,+42%
2007-03-18 - 2007-03-24,+18%
2007-03-25 - 2007-03-31,+27%
2007-04-01 - 2007-04-07,+27%
2007-04-08 - 2007-04-14,+33%
2007-04-15 - 2007-04-21,+36%
2007-04-22 - 2007-04-28,+48%
2007-04-29 - 2007-05-05,+52%
2007-05-06 - 2007-05-12,+76%
2007-05-13 - 2007-05-19,+64%
2007-05-20 - 2007-05-26,+55%
2007-05-27 - 2007-06-02,+39%
2007-06-03 - 2007-06-09,+52%
2007-06-10 - 2007-06-16,+73%
2007-06-17 - 2007-06-23,+148%
2007-06-24 - 2007-06-30,+142%
2007-07-01 - 2007-07-07,+145%
2007-07-08 - 2007-07-14,+133%
2007-07-15 - 2007-07-21,+115%
2007-07-22 - 2007-07-28,+88%
2007-07-29 - 2007-08-04,+82%
2007-08-05 - 2007-08-11,+79%
2007-08-12 - 2007-08-18,+82%
2007-08-19 - 2007-08-25,+79%
2007-08-26 - 2007-09-01,+100%
2007-09-02 - 2007-09-08,+33%
2007-09-09 - 2007-09-15,+18%
2007-09-16 - 2007-09-22,+21%
2007-09-23 - 2007-09-29,+27%
2007-09-30 - 2007-10-06,+15%
2007-10-07 - 2007-10-13,+12%
2007-10-14 - 2007-10-20,-3%
2007-10-21 - 2007-10-27,+12%
2007-10-28 - 2007-11-03,+21%
2007-11-04 - 2007-11-10,+9%
2007-11-11 - 2007-11-17,+12%
2007-11-18 - 2007-11-24,+6%
2007-11-25 - 2007-12-01,+12%
2007-12-02 - 2007-12-08,+18%
2007-12-09 - 2007-12-15,+18%
2007-12-16 - 2007-12-22,+24%
2007-12-23 - 2007-12-29,+61%
2007-12-30 - 2008-01-05,+39%
2008-01-06 - 2008-01-12,+130%
2008-01-13 - 2008-01-19,+45%
2008-01-20 - 2008-01-26,+33%
2008-01-27 - 2008-02-02,+42%
2008-02-03 - 2008-02-09,+24%
2008-02-10 - 2008-02-16,+30%
2008-02-17 - 2008-02-23,+30%
2008-02-24 - 2008-03-01,+36%
2008-03-02 - 2008-03-08,+33%
2008-03-09 - 2008-03-15,+24%
2008-03-16 - 2008-03-22,+36%
2008-03-23 - 2008-03-29,+33%
2008-03-30 - 2008-04-05,+42%
2008-04-06 - 2008-04-12,+48%
2008-04-13 - 2008-04-19,+45%
2008-04-20 - 2008-04-26,+45%
2008-04-27 - 2008-05-03,+76%
2008-05-04 - 2008-05-10,+112%
2008-05-11 - 2008-05-17,+94%
2008-05-18 - 2008-05-24,+124%
2008-05-25 - 2008-05-31,+112%
2008-06-01 - 2008-06-07,+115%
2008-06-08 - 2008-06-14,+112%
2008-06-15 - 2008-06-21,+109%
2008-06-22 - 2008-06-28,+145%
2008-06-29 - 2008-07-05,+127%
2008-07-06 - 2008-07-12,+106%
2008-07-13 - 2008-07-19,+118%
2008-07-20 - 2008-07-26,+115%
2008-07-27 - 2008-08-02,+103%
2008-08-03 - 2008-08-09,+103%
2008-08-10 - 2008-08-16,+85%
2008-08-17 - 2008-08-23,+73%
2008-08-24 - 2008-08-30,+97%
2008-08-31 - 2008-09-06,+67%
2008-09-07 - 2008-09-13,+27%
2008-09-14 - 2008-09-20,+27%
2008-09-21 - 2008-09-27,+27%
2008-09-28 - 2008-10-04,+33%
2008-10-05 - 2008-10-11,+12%
2008-10-12 - 2008-10-18,+9%
2008-10-19 - 2008-10-25,+15%
2008-10-26 - 2008-11-01,+15%
2008-11-02 - 2008-11-08,+15%
2008-11-09 - 2008-11-15,+24%
2008-11-16 - 2008-11-22,+30%
2008-11-23 - 2008-11-29,+12%
2008-11-30 - 2008-12-06,+21%
2008-12-07 - 2008-12-13,+39%
2008-12-14 - 2008-12-20,+33%
2008-12-21 - 2008-12-27,+24%
2008-12-28 - 2009-01-03,+24%
2009-01-04 - 2009-01-10,+24%
2009-01-11 - 2009-01-17,+30%
2009-01-18 - 2009-01-24,+24%
2009-01-25 - 2009-01-31,+30%
2009-02-01 - 2009-02-07,+24%
2009-02-08 - 2009-02-14,+15%
2009-02-15 - 2009-02-21,+21%
2009-02-22 - 2009-02-28,+30%
2009-03-01 - 2009-03-07,+39%
2009-03-08 - 2009-03-14,+36%
2009-03-15 - 2009-03-21,+27%
2009-03-22 - 2009-03-28,+15%
2009-03-29 - 2009-04-04,+15%
2009-04-05 - 2009-04-11,+33%
2009-04-12 - 2009-04-18,+30%
2009-04-19 - 2009-04-25,+52%
2009-04-26 - 2009-05-02,+52%
2009-05-03 - 2009-05-09,+106%
2009-05-10 - 2009-05-16,+85%
2009-05-17 - 2009-05-23,+55%
2009-05-24 - 2009-05-30,+118%
2009-05-31 - 2009-06-06,+106%
2009-06-07 - 2009-06-13,+173%
2009-06-14 - 2009-06-20,+179%
2009-06-21 - 2009-06-27,+155%
2009-06-28 - 2009-07-04,+158%
2009-07-05 - 2009-07-11,+188%
2009-07-12 - 2009-07-18,+197%
2009-07-19 - 2009-07-25,+203%
2009-07-26 - 2009-08-01,+136%
2009-08-02 - 2009-08-08,+130%
2009-08-09 - 2009-08-15,+118%
2009-08-16 - 2009-08-22,+112%
2009-08-23 - 2009-08-29,+130%
2009-08-30 - 2009-09-05,+91%
2009-09-06 - 2009-09-12,+58%
2009-09-13 - 2009-09-19,+55%
2009-09-20 - 2009-09-26,+55%
2009-09-27 - 2009-10-03,+33%
2009-10-04 - 2009-10-10,+18%
2009-10-11 - 2009-10-17,+21%
2009-10-18 - 2009-10-24,+24%
2009-10-25 - 2009-10-31,+39%
2009-11-01 - 2009-11-07,+21%
2009-11-08 - 2009-11-14,+18%
2009-11-15 - 2009-11-21,+9%
2009-11-22 - 2009-11-28,+33%
2009-11-29 - 2009-12-05,+42%
2009-12-06 - 2009-12-12,+33%
2009-12-13 - 2009-12-19,+36%
2009-12-20 - 2009-12-26,+18%
2009-12-27 - 2010-01-02,+12%
2010-01-03 - 2010-01-09,+27%
2010-01-10 - 2010-01-16,+30%
2010-01-17 - 2010-01-23,+18%
2010-01-24 - 2010-01-30,+24%
2010-01-31 - 2010-02-06,+18%
2010-02-07 - 2010-02-13,+15%
2010-02-14 - 2010-02-20,+27%
2010-02-21 - 2010-02-27,+21%
2010-02-28 - 2010-03-06,+15%
2010-03-07 - 2010-03-13,+42%
2010-03-14 - 2010-03-20,+42%
2010-03-21 - 2010-03-27,+39%
2010-03-28 - 2010-04-03,+45%
2010-04-04 - 2010-04-10,+55%
2010-04-11 - 2010-04-17,+48%
2010-04-18 - 2010-04-24,+58%
2010-04-25 - 2010-05-01,+82%
2010-05-02 - 2010-05-08,+58%
2010-05-09 - 2010-05-15,+52%
2010-05-16 - 2010-05-22,+94%
2010-05-23 - 2010-05-29,+70%
2010-05-30 - 2010-06-05,+55%
2010-06-06 - 2010-06-12,+55%
2010-06-13 - 2010-06-19,+73%
2010-06-20 - 2010-06-26,+91%
2010-06-27 - 2010-07-03,+88%
2010-07-04 - 2010-07-10,+100%
2010-07-11 - 2010-07-17,+112%
2010-07-18 - 2010-07-24,+76%
2010-07-25 - 2010-07-31,+91%
2010-08-01 - 2010-08-07,+73%
2010-08-08 - 2010-08-14,+79%
2010-08-15 - 2010-08-21,+82%
2010-08-22 - 2010-08-28,+112%
2010-08-29 - 2010-09-04,+73%
2010-09-05 - 2010-09-11,+36%
2010-09-12 - 2010-09-18,+39%
2010-09-19 - 2010-09-25,+45%
2010-09-26 - 2010-10-02,+30%
2010-10-03 - 2010-10-09,+15%
2010-10-10 - 2010-10-16,+21%
2010-10-17 - 2010-10-23,+24%
2010-10-24 - 2010-10-30,+24%
2010-10-31 - 2010-11-06,+24%
2010-11-07 - 2010-11-13,+27%
2010-11-14 - 2010-11-20,+30%
2010-11-21 - 2010-11-27,+33%
2010-11-28 - 2010-12-04,+76%
2010-12-05 - 2010-12-11,+33%
2010-12-12 - 2010-12-18,+39%
2010-12-19 - 2010-12-25,+30%
2010-12-26 - 2011-01-01,+18%
2011-01-02 - 2011-01-08,+52%
2011-01-09 - 2011-01-15,+48%
2011-01-16 - 2011-01-22,+42%
2011-01-23 - 2011-01-29,+42%
2011-01-30 - 2011-02-05,+55%
2011-02-06 - 2011-02-12,+30%
2011-02-13 - 2011-02-19,+33%
2011-02-20 - 2011-02-26,+33%
2011-02-27 - 2011-03-05,+33%
2011-03-06 - 2011-03-12,+42%
2011-03-13 - 2011-03-19,+58%
2011-03-20 - 2011-03-26,+15%
2011-03-27 - 2011-04-02,+21%
2011-04-03 - 2011-04-09,+42%
2011-04-10 - 2011-04-16,+42%
2011-04-17 - 2011-04-23,+142%
2011-04-24 - 2011-04-30,+118%
2011-05-01 - 2011-05-07,+85%
2011-05-08 - 2011-05-14,+70%
2011-05-15 - 2011-05-21,+55%
2011-05-22 - 2011-05-28,+73%
2011-05-29 - 2011-06-04,+88%
2011-06-05 - 2011-06-11,+61%
2011-06-12 - 2011-06-18,+55%
2011-06-19 - 2011-06-25,+76%
2011-06-26 - 2011-07-02,+67%
2011-07-03 - 2011-07-09,+70%
2011-07-10 - 2011-07-16,+73%
2011-07-17 - 2011-07-23,+70%
2011-07-24 - 2011-07-30,+73%
2011-07-31 - 2011-08-06,+64%
2011-08-07 - 2011-08-13,+91%
2011-08-14 - 2011-08-20,+158%
2011-08-21 - 2011-08-27,+94%
2011-08-28 - 2011-09-03,+67%
2011-09-04 - 2011-09-10,+42%
2011-09-11 - 2011-09-17,+48%
2011-09-18 - 2011-09-24,+61%
2011-09-25 - 2011-10-01,+39%
2011-10-02 - 2011-10-08,+21%
2011-10-09 - 2011-10-15,+21%
2011-10-16 - 2011-10-22,+21%
2011-10-23 - 2011-10-29,+42%
2011-10-30 - 2011-11-05,+27%
2011-11-06 - 2011-11-12,+21%
2011-11-13 - 2011-11-19,+9%
2011-11-20 - 2011-11-26,+33%
2011-11-27 - 2011-12-03,+33%
2011-12-04 - 2011-12-10,+45%
2011-12-11 - 2011-12-17,+61%
2011-12-18 - 2011-12-24,+39%
2011-12-25 - 2011-12-31,+18%
2012-01-01 - 2012-01-07,+27%
2012-01-08 - 2012-01-14,+39%
2012-01-15 - 2012-01-21,+64%
2012-01-22 - 2012-01-28,+82%
2012-01-29 - 2012-02-04,+42%
2012-02-05 - 2012-02-11,+48%
2012-02-12 - 2012-02-18,+48%
2012-02-19 - 2012-02-25,+48%
2012-02-26 - 2012-03-03,+39%
2012-03-04 - 2012-03-10,+48%
2012-03-11 - 2012-03-17,+52%
2012-03-18 - 2012-03-24,+79%
2012-03-25 - 2012-03-31,+52%
2012-04-01 - 2012-04-07,+61%
2012-04-08 - 2012-04-14,+76%
2012-04-15 - 2012-04-21,+79%
2012-04-22 - 2012-04-28,+155%
2012-04-29 - 2012-05-05,+106%
2012-05-06 - 2012-05-12,+70%
2012-05-13 - 2012-05-19,+64%
2012-05-20 - 2012-05-26,+61%
2012-05-27 - 2012-06-02,+45%
2012-06-03 - 2012-06-09,+42%
2012-06-10 - 2012-06-16,+55%
2012-06-17 - 2012-06-23,+48%
2012-06-24 - 2012-06-30,+82%
2012-07-01 - 2012-07-07,+97%
2012-07-08 - 2012-07-14,+52%
2012-07-15 - 2012-07-21,+45%
2012-07-22 - 2012-07-28,+39%
2012-07-29 - 2012-08-04,+45%
2012-08-05 - 2012-08-11,+52%
2012-08-12 - 2012-08-18,+67%
2012-08-19 - 2012-08-25,+97%
2012-08-26 - 2012-09-01,+136%
2012-09-02 - 2012-09-08,+70%
2012-09-09 - 2012-09-15,+33%
2012-09-16 - 2012-09-22,+52%
2012-09-23 - 2012-09-29,+33%
2012-09-30 - 2012-10-06,+39%
2012-10-07 - 2012-10-13,+36%
2012-10-14 - 2012-10-20,+12%
2012-10-21 - 2012-10-27,+27%
2012-10-28 - 2012-11-03,+33%
2012-11-04 - 2012-11-10,+21%
2012-11-11 - 2012-11-17,+24%
2012-11-18 - 2012-11-24,+42%
2012-11-25 - 2012-12-01, 



Top searches
mundo,100
mundo deportivo,100
sport,50
el mundo deportivo,20
elmundodeportivo,10
fichajes,10
ronaldo,10
resultados,10
cristiano ronaldo,10
mercafutbol,5
resultados futbol,5
diario deportivo,5
gazzetta,5
mundodeportivo,5
diario mundo deportivo,5
gazzetta sport,5
diario sport,5
gazzetta dello sport,0
resultados de futbol,0
sport diario deportivo,0



Rising searches
mercafutbol,Breakout
cristiano ronaldo,+130%
ronaldo,+90%
resultados futbol,+70%
gazzetta dello sport,+60%
resultados,+60%
fichajes,+50%
mundo,+40%
mundo deportivo,+40%



