Web Search Interest
Spain; 2004 - present

Interest over time
Week,Live Sporting Events
2007-01-14 - 2007-01-20,+106%
2007-01-21 - 2007-01-27,+141%
2007-01-28 - 2007-02-03,+94%
2007-02-04 - 2007-02-10,+112%
2007-02-11 - 2007-02-17,+106%
2007-02-18 - 2007-02-24,+112%
2007-02-25 - 2007-03-03,+124%
2007-03-04 - 2007-03-10,+176%
2007-03-11 - 2007-03-17,+129%
2007-03-18 - 2007-03-24,+135%
2007-03-25 - 2007-03-31,+147%
2007-04-01 - 2007-04-07,+118%
2007-04-08 - 2007-04-14,+165%
2007-04-15 - 2007-04-21,+147%
2007-04-22 - 2007-04-28,+129%
2007-04-29 - 2007-05-05,+129%
2007-05-06 - 2007-05-12,+112%
2007-05-13 - 2007-05-19,+147%
2007-05-20 - 2007-05-26,+147%
2007-05-27 - 2007-06-02,+135%
2007-06-03 - 2007-06-09,+165%
2007-06-10 - 2007-06-16,+141%
2007-06-17 - 2007-06-23,+165%
2007-06-24 - 2007-06-30,+147%
2007-07-01 - 2007-07-07,+147%
2007-07-08 - 2007-07-14,+171%
2007-07-15 - 2007-07-21,+171%
2007-07-22 - 2007-07-28,+124%
2007-07-29 - 2007-08-04,+171%
2007-08-05 - 2007-08-11,+171%
2007-08-12 - 2007-08-18,+218%
2007-08-19 - 2007-08-25,+194%
2007-08-26 - 2007-09-01,+171%
2007-09-02 - 2007-09-08,+135%
2007-09-09 - 2007-09-15,+165%
2007-09-16 - 2007-09-22,+159%
2007-09-23 - 2007-09-29,+212%
2007-09-30 - 2007-10-06,+112%
2007-10-07 - 2007-10-13,+135%
2007-10-14 - 2007-10-20,+112%
2007-10-21 - 2007-10-27,+118%
2007-10-28 - 2007-11-03,+112%
2007-11-04 - 2007-11-10,+112%
2007-11-11 - 2007-11-17,+100%
2007-11-18 - 2007-11-24,+94%
2007-11-25 - 2007-12-01,+88%
2007-12-02 - 2007-12-08,+124%
2007-12-09 - 2007-12-15,+112%
2007-12-16 - 2007-12-22,+106%
2007-12-23 - 2007-12-29,+124%
2007-12-30 - 2008-01-05,+118%
2008-01-06 - 2008-01-12,+100%
2008-01-13 - 2008-01-19,+112%
2008-01-20 - 2008-01-26,+135%
2008-01-27 - 2008-02-02,+100%
2008-02-03 - 2008-02-09,+129%
2008-02-10 - 2008-02-16,+106%
2008-02-17 - 2008-02-23,+112%
2008-02-24 - 2008-03-01,+118%
2008-03-02 - 2008-03-08,+112%
2008-03-09 - 2008-03-15,+118%
2008-03-16 - 2008-03-22,+194%
2008-03-23 - 2008-03-29,+129%
2008-03-30 - 2008-04-05,+141%
2008-04-06 - 2008-04-12,+129%
2008-04-13 - 2008-04-19,+124%
2008-04-20 - 2008-04-26,+124%
2008-04-27 - 2008-05-03,+129%
2008-05-04 - 2008-05-10,+153%
2008-05-11 - 2008-05-17,+147%
2008-05-18 - 2008-05-24,+153%
2008-05-25 - 2008-05-31,+200%
2008-06-01 - 2008-06-07,+176%
2008-06-08 - 2008-06-14,+135%
2008-06-15 - 2008-06-21,+124%
2008-06-22 - 2008-06-28,+118%
2008-06-29 - 2008-07-05,+106%
2008-07-06 - 2008-07-12,+106%
2008-07-13 - 2008-07-19,+141%
2008-07-20 - 2008-07-26,+165%
2008-07-27 - 2008-08-02,+141%
2008-08-03 - 2008-08-09,+182%
2008-08-10 - 2008-08-16,+265%
2008-08-17 - 2008-08-23,+212%
2008-08-24 - 2008-08-30,+147%
2008-08-31 - 2008-09-06,+147%
2008-09-07 - 2008-09-13,+118%
2008-09-14 - 2008-09-20,+135%
2008-09-21 - 2008-09-27,+135%
2008-09-28 - 2008-10-04,+118%
2008-10-05 - 2008-10-11,+124%
2008-10-12 - 2008-10-18,+118%
2008-10-19 - 2008-10-25,+129%
2008-10-26 - 2008-11-01,+112%
2008-11-02 - 2008-11-08,+106%
2008-11-09 - 2008-11-15,+76%
2008-11-16 - 2008-11-22,+94%
2008-11-23 - 2008-11-29,+76%
2008-11-30 - 2008-12-06,+82%
2008-12-07 - 2008-12-13,+106%
2008-12-14 - 2008-12-20,+94%
2008-12-21 - 2008-12-27,+65%
2008-12-28 - 2009-01-03,+76%
2009-01-04 - 2009-01-10,+94%
2009-01-11 - 2009-01-17,+82%
2009-01-18 - 2009-01-24,+88%
2009-01-25 - 2009-01-31,+124%
2009-02-01 - 2009-02-07,+112%
2009-02-08 - 2009-02-14,+88%
2009-02-15 - 2009-02-21,+82%
2009-02-22 - 2009-02-28,+100%
2009-03-01 - 2009-03-07,+135%
2009-03-08 - 2009-03-14,+100%
2009-03-15 - 2009-03-21,+135%
2009-03-22 - 2009-03-28,+124%
2009-03-29 - 2009-04-04,+106%
2009-04-05 - 2009-04-11,+135%
2009-04-12 - 2009-04-18,+124%
2009-04-19 - 2009-04-25,+135%
2009-04-26 - 2009-05-02,+194%
2009-05-03 - 2009-05-09,+335%
2009-05-10 - 2009-05-16,+382%
2009-05-17 - 2009-05-23,+135%
2009-05-24 - 2009-05-30,+147%
2009-05-31 - 2009-06-06,+124%
2009-06-07 - 2009-06-13,+76%
2009-06-14 - 2009-06-20,+59%
2009-06-21 - 2009-06-27,+59%
2009-06-28 - 2009-07-04,+59%
2009-07-05 - 2009-07-11,+112%
2009-07-12 - 2009-07-18,+82%
2009-07-19 - 2009-07-25,+135%
2009-07-26 - 2009-08-01,+112%
2009-08-02 - 2009-08-08,+129%
2009-08-09 - 2009-08-15,+112%
2009-08-16 - 2009-08-22,+141%
2009-08-23 - 2009-08-29,+112%
2009-08-30 - 2009-09-05,+112%
2009-09-06 - 2009-09-12,+124%
2009-09-13 - 2009-09-19,+129%
2009-09-20 - 2009-09-26,+88%
2009-09-27 - 2009-10-03,+76%
2009-10-04 - 2009-10-10,+71%
2009-10-11 - 2009-10-17,+53%
2009-10-18 - 2009-10-24,+88%
2009-10-25 - 2009-10-31,+76%
2009-11-01 - 2009-11-07,+65%
2009-11-08 - 2009-11-14,+76%
2009-11-15 - 2009-11-21,+53%
2009-11-22 - 2009-11-28,+71%
2009-11-29 - 2009-12-05,+71%
2009-12-06 - 2009-12-12,+59%
2009-12-13 - 2009-12-19,+100%
2009-12-20 - 2009-12-26,+18%
2009-12-27 - 2010-01-02,+35%
2010-01-03 - 2010-01-09,+71%
2010-01-10 - 2010-01-16,+76%
2010-01-17 - 2010-01-23,+82%
2010-01-24 - 2010-01-30,+94%
2010-01-31 - 2010-02-06,+53%
2010-02-07 - 2010-02-13,+71%
2010-02-14 - 2010-02-20,+100%
2010-02-21 - 2010-02-27,+76%
2010-02-28 - 2010-03-06,+71%
2010-03-07 - 2010-03-13,+88%
2010-03-14 - 2010-03-20,+88%
2010-03-21 - 2010-03-27,+88%
2010-03-28 - 2010-04-03,+124%
2010-04-04 - 2010-04-10,+106%
2010-04-11 - 2010-04-17,+118%
2010-04-18 - 2010-04-24,+118%
2010-04-25 - 2010-05-01,+147%
2010-05-02 - 2010-05-08,+135%
2010-05-09 - 2010-05-15,+224%
2010-05-16 - 2010-05-22,+135%
2010-05-23 - 2010-05-29,+147%
2010-05-30 - 2010-06-05,+141%
2010-06-06 - 2010-06-12,+112%
2010-06-13 - 2010-06-19,+106%
2010-06-20 - 2010-06-26,+82%
2010-06-27 - 2010-07-03,+71%
2010-07-04 - 2010-07-10,+71%
2010-07-11 - 2010-07-17,+88%
2010-07-18 - 2010-07-24,+129%
2010-07-25 - 2010-07-31,+71%
2010-08-01 - 2010-08-07,+82%
2010-08-08 - 2010-08-14,+118%
2010-08-15 - 2010-08-21,+153%
2010-08-22 - 2010-08-28,+124%
2010-08-29 - 2010-09-04,+112%
2010-09-05 - 2010-09-11,+124%
2010-09-12 - 2010-09-18,+135%
2010-09-19 - 2010-09-25,+94%
2010-09-26 - 2010-10-02,+129%
2010-10-03 - 2010-10-09,+94%
2010-10-10 - 2010-10-16,+94%
2010-10-17 - 2010-10-23,+94%
2010-10-24 - 2010-10-30,+100%
2010-10-31 - 2010-11-06,+112%
2010-11-07 - 2010-11-13,+118%
2010-11-14 - 2010-11-20,+82%
2010-11-21 - 2010-11-27,+106%
2010-11-28 - 2010-12-04,+106%
2010-12-05 - 2010-12-11,+82%
2010-12-12 - 2010-12-18,+53%
2010-12-19 - 2010-12-25,+47%
2010-12-26 - 2011-01-01,+18%
2011-01-02 - 2011-01-08,+53%
2011-01-09 - 2011-01-15,+41%
2011-01-16 - 2011-01-22,+76%
2011-01-23 - 2011-01-29,+82%
2011-01-30 - 2011-02-05,+88%
2011-02-06 - 2011-02-12,+71%
2011-02-13 - 2011-02-19,+76%
2011-02-20 - 2011-02-26,+59%
2011-02-27 - 2011-03-05,+71%
2011-03-06 - 2011-03-12,+71%
2011-03-13 - 2011-03-19,+118%
2011-03-20 - 2011-03-26,+124%
2011-03-27 - 2011-04-02,+94%
2011-04-03 - 2011-04-09,+118%
2011-04-10 - 2011-04-16,+88%
2011-04-17 - 2011-04-23,+176%
2011-04-24 - 2011-04-30,+147%
2011-05-01 - 2011-05-07,+294%
2011-05-08 - 2011-05-14,+153%
2011-05-15 - 2011-05-21,+241%
2011-05-22 - 2011-05-28,+253%
2011-05-29 - 2011-06-04,+206%
2011-06-05 - 2011-06-11,+124%
2011-06-12 - 2011-06-18,+88%
2011-06-19 - 2011-06-25,+82%
2011-06-26 - 2011-07-02,+124%
2011-07-03 - 2011-07-09,+229%
2011-07-10 - 2011-07-16,+288%
2011-07-17 - 2011-07-23,+347%
2011-07-24 - 2011-07-30,+94%
2011-07-31 - 2011-08-06,+94%
2011-08-07 - 2011-08-13,+82%
2011-08-14 - 2011-08-20,+129%
2011-08-21 - 2011-08-27,+129%
2011-08-28 - 2011-09-03,+165%
2011-09-04 - 2011-09-10,+165%
2011-09-11 - 2011-09-17,+112%
2011-09-18 - 2011-09-24,+76%
2011-09-25 - 2011-10-01,+124%
2011-10-02 - 2011-10-08,+71%
2011-10-09 - 2011-10-15,+112%
2011-10-16 - 2011-10-22,+88%
2011-10-23 - 2011-10-29,+106%
2011-10-30 - 2011-11-05,+100%
2011-11-06 - 2011-11-12,+118%
2011-11-13 - 2011-11-19,+76%
2011-11-20 - 2011-11-26,+88%
2011-11-27 - 2011-12-03,+82%
2011-12-04 - 2011-12-10,+129%
2011-12-11 - 2011-12-17,+88%
2011-12-18 - 2011-12-24,+35%
2011-12-25 - 2011-12-31,+47%
2012-01-01 - 2012-01-07,+76%
2012-01-08 - 2012-01-14,+47%
2012-01-15 - 2012-01-21,+94%
2012-01-22 - 2012-01-28,+153%
2012-01-29 - 2012-02-04,+118%
2012-02-05 - 2012-02-11,+112%
2012-02-12 - 2012-02-18,+100%
2012-02-19 - 2012-02-25,+118%
2012-02-26 - 2012-03-03,+112%
2012-03-04 - 2012-03-10,+141%
2012-03-11 - 2012-03-17,+153%
2012-03-18 - 2012-03-24,+100%
2012-03-25 - 2012-03-31,+124%
2012-04-01 - 2012-04-07,+129%
2012-04-08 - 2012-04-14,+112%
2012-04-15 - 2012-04-21,+176%
2012-04-22 - 2012-04-28,+176%
2012-04-29 - 2012-05-05,+188%
2012-05-06 - 2012-05-12,+259%
2012-05-13 - 2012-05-19,+247%
2012-05-20 - 2012-05-26,+271%
2012-05-27 - 2012-06-02,+224%
2012-06-03 - 2012-06-09,+347%
2012-06-10 - 2012-06-16,+488%
2012-06-17 - 2012-06-23,+394%
2012-06-24 - 2012-06-30,+282%
2012-07-01 - 2012-07-07,+218%
2012-07-08 - 2012-07-14,+106%
2012-07-15 - 2012-07-21,+100%
2012-07-22 - 2012-07-28,+112%
2012-07-29 - 2012-08-04,+206%
2012-08-05 - 2012-08-11,+276%
2012-08-12 - 2012-08-18,+106%
2012-08-19 - 2012-08-25,+135%
2012-08-26 - 2012-09-01,+153%
2012-09-02 - 2012-09-08,+171%
2012-09-09 - 2012-09-15,+65%
2012-09-16 - 2012-09-22,+106%
2012-09-23 - 2012-09-29,+82%
2012-09-30 - 2012-10-06,+94%
2012-10-07 - 2012-10-13,+124%
2012-10-14 - 2012-10-20,+165%
2012-10-21 - 2012-10-27,+59%
2012-10-28 - 2012-11-03,+65%
2012-11-04 - 2012-11-10,+82%
2012-11-11 - 2012-11-17,+59%
2012-11-18 - 2012-11-24,+65%
2012-11-25 - 2012-12-01, 



Top searches
match,100
teledeporte,70
euro 2012,30
directo teledeporte,30
mestalla,25
caja magica,20
programacion teledeporte,15
san mames,10
teledeporte en directo,10
caja magica madrid,10
club atletico,10
wembley,10
la caja magica,10
canal plus toros,5
eurosport en directo,5
madison square,5



Rising searches
caja magica,Breakout
directo teledeporte,Breakout
euro 2012,Breakout
teledeporte,+1,200%
mestalla,+200%
match,+40%



