Web Search Interest
Germany; 2004 - present

Interest over time
Week,Winter Sports
2007-01-14 - 2007-01-20,-47%
2007-01-21 - 2007-01-27,-36%
2007-01-28 - 2007-02-03,-43%
2007-02-04 - 2007-02-10,-37%
2007-02-11 - 2007-02-17,-46%
2007-02-18 - 2007-02-24,-56%
2007-02-25 - 2007-03-03,-57%
2007-03-04 - 2007-03-10,-62%
2007-03-11 - 2007-03-17,-64%
2007-03-18 - 2007-03-24,-61%
2007-03-25 - 2007-03-31,-70%
2007-04-01 - 2007-04-07,-73%
2007-04-08 - 2007-04-14,-75%
2007-04-15 - 2007-04-21,-77%
2007-04-22 - 2007-04-28,-79%
2007-04-29 - 2007-05-05,-80%
2007-05-06 - 2007-05-12,-79%
2007-05-13 - 2007-05-19,-78%
2007-05-20 - 2007-05-26,-78%
2007-05-27 - 2007-06-02,-77%
2007-06-03 - 2007-06-09,-78%
2007-06-10 - 2007-06-16,-77%
2007-06-17 - 2007-06-23,-78%
2007-06-24 - 2007-06-30,-78%
2007-07-01 - 2007-07-07,-78%
2007-07-08 - 2007-07-14,-77%
2007-07-15 - 2007-07-21,-77%
2007-07-22 - 2007-07-28,-77%
2007-07-29 - 2007-08-04,-75%
2007-08-05 - 2007-08-11,-75%
2007-08-12 - 2007-08-18,-75%
2007-08-19 - 2007-08-25,-75%
2007-08-26 - 2007-09-01,-75%
2007-09-02 - 2007-09-08,-71%
2007-09-09 - 2007-09-15,-70%
2007-09-16 - 2007-09-22,-71%
2007-09-23 - 2007-09-29,-71%
2007-09-30 - 2007-10-06,-70%
2007-10-07 - 2007-10-13,-70%
2007-10-14 - 2007-10-20,-68%
2007-10-21 - 2007-10-27,-66%
2007-10-28 - 2007-11-03,-64%
2007-11-04 - 2007-11-10,-62%
2007-11-11 - 2007-11-17,-51%
2007-11-18 - 2007-11-24,-51%
2007-11-25 - 2007-12-01,-48%
2007-12-02 - 2007-12-08,-51%
2007-12-09 - 2007-12-15,-47%
2007-12-16 - 2007-12-22,-44%
2007-12-23 - 2007-12-29,-25%
2007-12-30 - 2008-01-05,-13%
2008-01-06 - 2008-01-12,-29%
2008-01-13 - 2008-01-19,-39%
2008-01-20 - 2008-01-26,-45%
2008-01-27 - 2008-02-02,-49%
2008-02-03 - 2008-02-09,-49%
2008-02-10 - 2008-02-16,-45%
2008-02-17 - 2008-02-23,-54%
2008-02-24 - 2008-03-01,-60%
2008-03-02 - 2008-03-08,-59%
2008-03-09 - 2008-03-15,-60%
2008-03-16 - 2008-03-22,-58%
2008-03-23 - 2008-03-29,-61%
2008-03-30 - 2008-04-05,-74%
2008-04-06 - 2008-04-12,-76%
2008-04-13 - 2008-04-19,-79%
2008-04-20 - 2008-04-26,-80%
2008-04-27 - 2008-05-03,-81%
2008-05-04 - 2008-05-10,-80%
2008-05-11 - 2008-05-17,-81%
2008-05-18 - 2008-05-24,-80%
2008-05-25 - 2008-05-31,-81%
2008-06-01 - 2008-06-07,-80%
2008-06-08 - 2008-06-14,-81%
2008-06-15 - 2008-06-21,-80%
2008-06-22 - 2008-06-28,-80%
2008-06-29 - 2008-07-05,-80%
2008-07-06 - 2008-07-12,-79%
2008-07-13 - 2008-07-19,-78%
2008-07-20 - 2008-07-26,-77%
2008-07-27 - 2008-08-02,-77%
2008-08-03 - 2008-08-09,-76%
2008-08-10 - 2008-08-16,-77%
2008-08-17 - 2008-08-23,-76%
2008-08-24 - 2008-08-30,-77%
2008-08-31 - 2008-09-06,-76%
2008-09-07 - 2008-09-13,-75%
2008-09-14 - 2008-09-20,-74%
2008-09-21 - 2008-09-27,-74%
2008-09-28 - 2008-10-04,-72%
2008-10-05 - 2008-10-11,-73%
2008-10-12 - 2008-10-18,-72%
2008-10-19 - 2008-10-25,-70%
2008-10-26 - 2008-11-01,-69%
2008-11-02 - 2008-11-08,-68%
2008-11-09 - 2008-11-15,-66%
2008-11-16 - 2008-11-22,-60%
2008-11-23 - 2008-11-29,-53%
2008-11-30 - 2008-12-06,-48%
2008-12-07 - 2008-12-13,-44%
2008-12-14 - 2008-12-20,-40%
2008-12-21 - 2008-12-27,-34%
2008-12-28 - 2009-01-03,-19%
2009-01-04 - 2009-01-10,-10%
2009-01-11 - 2009-01-17,-31%
2009-01-18 - 2009-01-24,-43%
2009-01-25 - 2009-01-31,-51%
2009-02-01 - 2009-02-07,-49%
2009-02-08 - 2009-02-14,-48%
2009-02-15 - 2009-02-21,-41%
2009-02-22 - 2009-02-28,-55%
