Web Search Interest
United States; 2004 - present

Interest over time
Week,Yard & Patio
2006-02-05 - 2006-02-11,+8%
2006-02-12 - 2006-02-18,+8%
2006-02-19 - 2006-02-25,+18%
2006-02-26 - 2006-03-04,+26%
2006-03-05 - 2006-03-11,+41%
2006-03-12 - 2006-03-18,+56%
2006-03-19 - 2006-03-25,+59%
2006-03-26 - 2006-04-01,+79%
2006-04-02 - 2006-04-08,+85%
2006-04-09 - 2006-04-15,+110%
2006-04-16 - 2006-04-22,+113%
2006-04-23 - 2006-04-29,+110%
2006-04-30 - 2006-05-06,+108%
2006-05-07 - 2006-05-13,+110%
2006-05-14 - 2006-05-20,+103%
2006-05-21 - 2006-05-27,+121%
2006-05-28 - 2006-06-03,+144%
2006-06-04 - 2006-06-10,+103%
2006-06-11 - 2006-06-17,+110%
2006-06-18 - 2006-06-24,+97%
2006-06-25 - 2006-07-01,+95%
2006-07-02 - 2006-07-08,+105%
2006-07-09 - 2006-07-15,+72%
2006-07-16 - 2006-07-22,+72%
2006-07-23 - 2006-07-29,+62%
2006-07-30 - 2006-08-05,+59%
2006-08-06 - 2006-08-12,+54%
2006-08-13 - 2006-08-19,+54%
2006-08-20 - 2006-08-26,+46%
2006-08-27 - 2006-09-02,+41%
2006-09-03 - 2006-09-09,+51%
2006-09-10 - 2006-09-16,+28%
2006-09-17 - 2006-09-23,+28%
2006-09-24 - 2006-09-30,+28%
2006-10-01 - 2006-10-07,+21%
2006-10-08 - 2006-10-14,+21%
2006-10-15 - 2006-10-21,+13%
2006-10-22 - 2006-10-28,+13%
2006-10-29 - 2006-11-04,+8%
2006-11-05 - 2006-11-11,+8%
2006-11-12 - 2006-11-18,+8%
2006-11-19 - 2006-11-25,+10%
2006-11-26 - 2006-12-02,+5%
2006-12-03 - 2006-12-09,+3%
2006-12-10 - 2006-12-16,+0%
2006-12-17 - 2006-12-23,-3%
2006-12-24 - 2006-12-30,-8%
2006-12-31 - 2007-01-06,-3%
2007-01-07 - 2007-01-13,-5%
2007-01-14 - 2007-01-20,-3%
2007-01-21 - 2007-01-27,-5%
2007-01-28 - 2007-02-03,-3%
2007-02-04 - 2007-02-10,+0%
2007-02-11 - 2007-02-17,+0%
2007-02-18 - 2007-02-24,+10%
2007-02-25 - 2007-03-03,+18%
2007-03-04 - 2007-03-10,+36%
2007-03-11 - 2007-03-17,+59%
2007-03-18 - 2007-03-24,+67%
2007-03-25 - 2007-03-31,+95%
2007-04-01 - 2007-04-07,+87%
2007-04-08 - 2007-04-14,+67%
2007-04-15 - 2007-04-21,+87%
2007-04-22 - 2007-04-28,+115%
2007-04-29 - 2007-05-05,+115%
2007-05-06 - 2007-05-12,+118%
2007-05-13 - 2007-05-19,+113%
2007-05-20 - 2007-05-26,+123%
2007-05-27 - 2007-06-02,+131%
2007-06-03 - 2007-06-09,+103%
2007-06-10 - 2007-06-16,+110%
2007-06-17 - 2007-06-23,+85%
2007-06-24 - 2007-06-30,+85%
2007-07-01 - 2007-07-07,+108%
2007-07-08 - 2007-07-14,+72%
2007-07-15 - 2007-07-21,+64%
2007-07-22 - 2007-07-28,+54%
2007-07-29 - 2007-08-04,+49%
2007-08-05 - 2007-08-11,+41%
2007-08-12 - 2007-08-18,+41%
2007-08-19 - 2007-08-25,+31%
2007-08-26 - 2007-09-01,+36%
2007-09-02 - 2007-09-08,+36%
2007-09-09 - 2007-09-15,+23%
2007-09-16 - 2007-09-22,+21%
2007-09-23 - 2007-09-29,+21%
2007-09-30 - 2007-10-06,+18%
2007-10-07 - 2007-10-13,+10%
2007-10-14 - 2007-10-20,+8%
2007-10-21 - 2007-10-27,+3%
2007-10-28 - 2007-11-03,+3%
2007-11-04 - 2007-11-10,+0%
2007-11-11 - 2007-11-17,+0%
2007-11-18 - 2007-11-24,+0%
2007-11-25 - 2007-12-01,-3%
2007-12-02 - 2007-12-08,-5%
2007-12-09 - 2007-12-15,-8%
2007-12-16 - 2007-12-22,-13%
2007-12-23 - 2007-12-29,-15%
2007-12-30 - 2008-01-05,-13%
2008-01-06 - 2008-01-12,-15%
2008-01-13 - 2008-01-19,-13%
2008-01-20 - 2008-01-26,-13%
2008-01-27 - 2008-02-02,-10%
2008-02-03 - 2008-02-09,-8%
2008-02-10 - 2008-02-16,-3%
2008-02-17 - 2008-02-23,+5%
2008-02-24 - 2008-03-01,+8%
2008-03-02 - 2008-03-08,+23%
2008-03-09 - 2008-03-15,+36%
2008-03-16 - 2008-03-22,+41%
2008-03-23 - 2008-03-29,+51%
2008-03-30 - 2008-04-05,+56%
2008-04-06 - 2008-04-12,+82%
2008-04-13 - 2008-04-19,+82%
2008-04-20 - 2008-04-26,+103%
2008-04-27 - 2008-05-03,+87%
2008-05-04 - 2008-05-10,+100%
2008-05-11 - 2008-05-17,+87%
2008-05-18 - 2008-05-24,+103%
2008-05-25 - 2008-05-31,+115%
2008-06-01 - 2008-06-07,+92%
2008-06-08 - 2008-06-14,+87%
2008-06-15 - 2008-06-21,+69%
2008-06-22 - 2008-06-28,+72%
2008-06-29 - 2008-07-05,+82%
2008-07-06 - 2008-07-12,+62%
2008-07-13 - 2008-07-19,+56%
2008-07-20 - 2008-07-26,+38%
2008-07-27 - 2008-08-02,+36%
2008-08-03 - 2008-08-09,+33%
2008-08-10 - 2008-08-16,+28%
2008-08-17 - 2008-08-23,+28%
2008-08-24 - 2008-08-30,+26%
2008-08-31 - 2008-09-06,+28%
2008-09-07 - 2008-09-13,+10%
2008-09-14 - 2008-09-20,+10%
2008-09-21 - 2008-09-27,+10%
2008-09-28 - 2008-10-04,+0%
