Web Search Interest
France; 2004 - present

Interest over time
Week,Literary Classics
2011-09-04 - 2011-09-10,-69%
2011-09-11 - 2011-09-17,-64%
2011-09-18 - 2011-09-24,-65%
2011-09-25 - 2011-10-01,-64%
2011-10-02 - 2011-10-08,-63%
2011-10-09 - 2011-10-15,-59%
2011-10-16 - 2011-10-22,-62%
2011-10-23 - 2011-10-29,-69%
2011-10-30 - 2011-11-05,-60%
2011-11-06 - 2011-11-12,-61%
2011-11-13 - 2011-11-19,-61%
2011-11-20 - 2011-11-26,-58%
2011-11-27 - 2011-12-03,-58%
2011-12-04 - 2011-12-10,-63%
2011-12-11 - 2011-12-17,-62%
2011-12-18 - 2011-12-24,-68%
2011-12-25 - 2011-12-31,-64%
2012-01-01 - 2012-01-07,-57%
2012-01-08 - 2012-01-14,-58%
2012-01-15 - 2012-01-21,-56%
2012-01-22 - 2012-01-28,-56%
2012-01-29 - 2012-02-04,-57%
2012-02-05 - 2012-02-11,-57%
2012-02-12 - 2012-02-18,-62%
2012-02-19 - 2012-02-25,-63%
2012-02-26 - 2012-03-03,-63%
2012-03-04 - 2012-03-10,-61%
2012-03-11 - 2012-03-17,-60%
2012-03-18 - 2012-03-24,-61%
2012-03-25 - 2012-03-31,-55%
2012-04-01 - 2012-04-07,-62%
2012-04-08 - 2012-04-14,-66%
2012-04-15 - 2012-04-21,-64%
2012-04-22 - 2012-04-28,-65%
2012-04-29 - 2012-05-05,-62%
2012-05-06 - 2012-05-12,-58%
2012-05-13 - 2012-05-19,-62%
2012-05-20 - 2012-05-26,-60%
2012-05-27 - 2012-06-02,-62%
2012-06-03 - 2012-06-09,-65%
2012-06-10 - 2012-06-16,-66%
2012-06-17 - 2012-06-23,-66%
2012-06-24 - 2012-06-30,-66%
2012-07-01 - 2012-07-07,-74%
2012-07-08 - 2012-07-14,-73%
2012-07-15 - 2012-07-21,-76%
2012-07-22 - 2012-07-28,-77%
2012-07-29 - 2012-08-04,-74%
2012-08-05 - 2012-08-11,-76%
2012-08-12 - 2012-08-18,-74%
2012-08-19 - 2012-08-25,-74%
2012-08-26 - 2012-09-01,-74%
2012-09-02 - 2012-09-08,-68%
2012-09-09 - 2012-09-15,-56%
2012-09-16 - 2012-09-22,-61%
2012-09-23 - 2012-09-29,-61%
2012-09-30 - 2012-10-06,-62%
2012-10-07 - 2012-10-13,-62%
2012-10-14 - 2012-10-20,-61%
2012-10-21 - 2012-10-27,-63%
2012-10-28 - 2012-11-03,-71%
2012-11-04 - 2012-11-10,-65%
2012-11-11 - 2012-11-17,-60%
2012-11-18 - 2012-11-24, 
