Web Search Interest
Portugal; 2004 - present

Interest over time
Week,Fan Fiction
2007-01-14 - 2007-01-20,+66%
2007-01-21 - 2007-01-27,+45%
2007-01-28 - 2007-02-03,+52%
2007-02-04 - 2007-02-10,+52%
2007-02-11 - 2007-02-17,+69%
2007-02-18 - 2007-02-24,+34%
2007-02-25 - 2007-03-03,+28%
2007-03-04 - 2007-03-10,+41%
2007-03-11 - 2007-03-17,+10%
2007-03-18 - 2007-03-24,+28%
2007-03-25 - 2007-03-31,+45%
2007-04-01 - 2007-04-07,+34%
2007-04-08 - 2007-04-14,+21%
2007-04-15 - 2007-04-21,+48%
2007-04-22 - 2007-04-28,+21%
2007-04-29 - 2007-05-05,+3%
2007-05-06 - 2007-05-12,+38%
2007-05-13 - 2007-05-19,+10%
2007-05-20 - 2007-05-26,+21%
2007-05-27 - 2007-06-02,+3%
2007-06-03 - 2007-06-09,+45%
2007-06-10 - 2007-06-16,+28%
2007-06-17 - 2007-06-23,+21%
2007-06-24 - 2007-06-30,+62%
2007-07-01 - 2007-07-07,+69%
2007-07-08 - 2007-07-14,+59%
2007-07-15 - 2007-07-21,+28%
2007-07-22 - 2007-07-28,+59%
2007-07-29 - 2007-08-04,+76%
2007-08-05 - 2007-08-11,+79%
2007-08-12 - 2007-08-18,+72%
2007-08-19 - 2007-08-25,+90%
2007-08-26 - 2007-09-01,+48%
2007-09-02 - 2007-09-08,+72%
2007-09-09 - 2007-09-15,+59%
2007-09-16 - 2007-09-22,+66%
2007-09-23 - 2007-09-29,+41%
2007-09-30 - 2007-10-06,+31%
2007-10-07 - 2007-10-13,+38%
2007-10-14 - 2007-10-20,+41%
2007-10-21 - 2007-10-27,+21%
2007-10-28 - 2007-11-03,+38%
2007-11-04 - 2007-11-10,+31%
2007-11-11 - 2007-11-17,+10%
2007-11-18 - 2007-11-24,+14%
2007-11-25 - 2007-12-01,+0%
2007-12-02 - 2007-12-08,+10%
2007-12-09 - 2007-12-15,+21%
2007-12-16 - 2007-12-22,+41%
2007-12-23 - 2007-12-29,+59%
2007-12-30 - 2008-01-05,+48%
2008-01-06 - 2008-01-12,+17%
2008-01-13 - 2008-01-19,+17%
2008-01-20 - 2008-01-26,+0%
2008-01-27 - 2008-02-02,+7%
2008-02-03 - 2008-02-09,+21%
2008-02-10 - 2008-02-16,+14%
2008-02-17 - 2008-02-23,+17%
2008-02-24 - 2008-03-01,+17%
2008-03-02 - 2008-03-08,+14%
2008-03-09 - 2008-03-15,+34%
2008-03-16 - 2008-03-22,+34%
2008-03-23 - 2008-03-29,+14%
2008-03-30 - 2008-04-05,+24%
2008-04-06 - 2008-04-12,+7%
2008-04-13 - 2008-04-19,+7%
2008-04-20 - 2008-04-26,+14%
2008-04-27 - 2008-05-03,+10%
2008-05-04 - 2008-05-10,+0%
2008-05-11 - 2008-05-17,-7%
2008-05-18 - 2008-05-24,+14%
2008-05-25 - 2008-05-31,+10%
2008-06-01 - 2008-06-07,-3%
2008-06-08 - 2008-06-14,+14%
2008-06-15 - 2008-06-21,+7%
2008-06-22 - 2008-06-28,+41%
2008-06-29 - 2008-07-05,+31%
2008-07-06 - 2008-07-12,+34%
2008-07-13 - 2008-07-19,+21%
2008-07-20 - 2008-07-26,+38%
2008-07-27 - 2008-08-02,+21%
2008-08-03 - 2008-08-09,+31%
2008-08-10 - 2008-08-16,+21%
2008-08-17 - 2008-08-23,+21%
2008-08-24 - 2008-08-30,+31%
2008-08-31 - 2008-09-06,+45%
2008-09-07 - 2008-09-13,+48%
2008-09-14 - 2008-09-20,+10%
2008-09-21 - 2008-09-27,+21%
2008-09-28 - 2008-10-04,-10%
2008-10-05 - 2008-10-11,+14%
2008-10-12 - 2008-10-18,+24%
2008-10-19 - 2008-10-25,+7%
