Web Search Interest
France; 2004 - present

Interest over time
Week,Bus & Rail
2009-04-19 - 2009-04-25,+124%
2009-04-26 - 2009-05-02,+118%
2009-05-03 - 2009-05-09,+124%
2009-05-10 - 2009-05-16,+118%
2009-05-17 - 2009-05-23,+124%
2009-05-24 - 2009-05-30,+130%
2009-05-31 - 2009-06-06,+124%
2009-06-07 - 2009-06-13,+127%
2009-06-14 - 2009-06-20,+133%
2009-06-21 - 2009-06-27,+139%
2009-06-28 - 2009-07-04,+170%
2009-07-05 - 2009-07-11,+173%
2009-07-12 - 2009-07-18,+161%
2009-07-19 - 2009-07-25,+148%
2009-07-26 - 2009-08-01,+161%
2009-08-02 - 2009-08-08,+164%
2009-08-09 - 2009-08-15,+148%
2009-08-16 - 2009-08-22,+133%
2009-08-23 - 2009-08-29,+121%
2009-08-30 - 2009-09-05,+145%
2009-09-06 - 2009-09-12,+136%
2009-09-13 - 2009-09-19,+124%
2009-09-20 - 2009-09-26,+118%
2009-09-27 - 2009-10-03,+118%
2009-10-04 - 2009-10-10,+121%
2009-10-11 - 2009-10-17,+121%
2009-10-18 - 2009-10-24,+124%
2009-10-25 - 2009-10-31,+118%
2009-11-01 - 2009-11-07,+109%
2009-11-08 - 2009-11-14,+103%
2009-11-15 - 2009-11-21,+94%
2009-11-22 - 2009-11-28,+88%
2009-11-29 - 2009-12-05,+97%
2009-12-06 - 2009-12-12,+100%
2009-12-13 - 2009-12-19,+127%
2009-12-20 - 2009-12-26,+127%
2009-12-27 - 2010-01-02,+103%
2010-01-03 - 2010-01-09,+130%
2010-01-10 - 2010-01-16,+112%
2010-01-17 - 2010-01-23,+88%
2010-01-24 - 2010-01-30,+97%
2010-01-31 - 2010-02-06,+112%
2010-02-07 - 2010-02-13,+112%
2010-02-14 - 2010-02-20,+112%
2010-02-21 - 2010-02-27,+106%
2010-02-28 - 2010-03-06,+100%
2010-03-07 - 2010-03-13,+100%
2010-03-14 - 2010-03-20,+106%
2010-03-21 - 2010-03-27,+124%
2010-03-28 - 2010-04-03,+115%
2010-04-04 - 2010-04-10,+158%
2010-04-11 - 2010-04-17,+176%
2010-04-18 - 2010-04-24,+155%
2010-04-25 - 2010-05-01,+112%
2010-05-02 - 2010-05-08,+106%
2010-05-09 - 2010-05-15,+112%
2010-05-16 - 2010-05-22,+109%
2010-05-23 - 2010-05-29,+112%
2010-05-30 - 2010-06-05,+103%
2010-06-06 - 2010-06-12,+100%
2010-06-13 - 2010-06-19,+112%
2010-06-20 - 2010-06-26,+127%
2010-06-27 - 2010-07-03,+142%
2010-07-04 - 2010-07-10,+145%
2010-07-11 - 2010-07-17,+139%
2010-07-18 - 2010-07-24,+139%
2010-07-25 - 2010-07-31,+148%
2010-08-01 - 2010-08-07,+136%
2010-08-08 - 2010-08-14,+127%
2010-08-15 - 2010-08-21,+121%
2010-08-22 - 2010-08-28,+106%
2010-08-29 - 2010-09-04,+133%
2010-09-05 - 2010-09-11,+139%
2010-09-12 - 2010-09-18,+112%
2010-09-19 - 2010-09-25,+133%
2010-09-26 - 2010-10-02,+115%
2010-10-03 - 2010-10-09,+106%
2010-10-10 - 2010-10-16,+194%
2010-10-17 - 2010-10-23,+203%
2010-10-24 - 2010-10-30,+155%
2010-10-31 - 2010-11-06,+118%
2010-11-07 - 2010-11-13,+97%
2010-11-14 - 2010-11-20,+91%
2010-11-21 - 2010-11-27,+100%
2010-11-28 - 2010-12-04,+136%
2010-12-05 - 2010-12-11,+124%
2010-12-12 - 2010-12-18,+127%
2010-12-19 - 2010-12-25,+152%
2010-12-26 - 2011-01-01,+112%
2011-01-02 - 2011-01-08,+100%
2011-01-09 - 2011-01-15,+97%
2011-01-16 - 2011-01-22,+97%
2011-01-23 - 2011-01-29,+97%
2011-01-30 - 2011-02-05,+88%
2011-02-06 - 2011-02-12,+94%
2011-02-13 - 2011-02-19,+91%
2011-02-20 - 2011-02-26,+100%
2011-02-27 - 2011-03-05,+94%
2011-03-06 - 2011-03-12,+100%
2011-03-13 - 2011-03-19,+85%
2011-03-20 - 2011-03-26,+94%
2011-03-27 - 2011-04-02,+91%
2011-04-03 - 2011-04-09,+109%
2011-04-10 - 2011-04-16,+115%
2011-04-17 - 2011-04-23,+115%
2011-04-24 - 2011-04-30,+103%
2011-05-01 - 2011-05-07,+106%
2011-05-08 - 2011-05-14,+109%
2011-05-15 - 2011-05-21,+103%
2011-05-22 - 2011-05-28,+112%
2011-05-29 - 2011-06-04,+112%
2011-06-05 - 2011-06-11,+115%
2011-06-12 - 2011-06-18,+112%
2011-06-19 - 2011-06-25,+118%
2011-06-26 - 2011-07-02,+136%
2011-07-03 - 2011-07-09,+148%
2011-07-10 - 2011-07-16,+139%
2011-07-17 - 2011-07-23,+121%
2011-07-24 - 2011-07-30,+130%
2011-07-31 - 2011-08-06,+124%
2011-08-07 - 2011-08-13,+118%
2011-08-14 - 2011-08-20,+109%
2011-08-21 - 2011-08-27,+106%
2011-08-28 - 2011-09-03,+118%
2011-09-04 - 2011-09-10,+127%
2011-09-11 - 2011-09-17,+112%
2011-09-18 - 2011-09-24,+103%
2011-09-25 - 2011-10-01,+130%
2011-10-02 - 2011-10-08,+139%
2011-10-09 - 2011-10-15,+130%
2011-10-16 - 2011-10-22,+112%
2011-10-23 - 2011-10-29,+112%
2011-10-30 - 2011-11-05,+97%
2011-11-06 - 2011-11-12,+118%
2011-11-13 - 2011-11-19,+103%
2011-11-20 - 2011-11-26,+103%
2011-11-27 - 2011-12-03,+100%
2011-12-04 - 2011-12-10,+112%
2011-12-11 - 2011-12-17,+133%
2011-12-18 - 2011-12-24,+94%
2011-12-25 - 2011-12-31,+91%
2012-01-01 - 2012-01-07,+94%
2012-01-08 - 2012-01-14,+85%
2012-01-15 - 2012-01-21,+88%
2012-01-22 - 2012-01-28,+82%
2012-01-29 - 2012-02-04,+97%
2012-02-05 - 2012-02-11,+109%
2012-02-12 - 2012-02-18,+97%
2012-02-19 - 2012-02-25,+100%
2012-02-26 - 2012-03-03,+103%
2012-03-04 - 2012-03-10,+94%
2012-03-11 - 2012-03-17,+91%
2012-03-18 - 2012-03-24,+88%
2012-03-25 - 2012-03-31,+100%
2012-04-01 - 2012-04-07,+109%
2012-04-08 - 2012-04-14,+109%
2012-04-15 - 2012-04-21,+100%
2012-04-22 - 2012-04-28,+88%
2012-04-29 - 2012-05-05,+88%
2012-05-06 - 2012-05-12,+82%
2012-05-13 - 2012-05-19,+94%
2012-05-20 - 2012-05-26,+106%
2012-05-27 - 2012-06-02,+100%
2012-06-03 - 2012-06-09,+97%
2012-06-10 - 2012-06-16,+100%
2012-06-17 - 2012-06-23,+109%
2012-06-24 - 2012-06-30,+118%
2012-07-01 - 2012-07-07,+130%
2012-07-08 - 2012-07-14,+142%
2012-07-15 - 2012-07-21,+124%
2012-07-22 - 2012-07-28,+127%
2012-07-29 - 2012-08-04,+127%
2012-08-05 - 2012-08-11,+118%
2012-08-12 - 2012-08-18,+121%
2012-08-19 - 2012-08-25,+112%
2012-08-26 - 2012-09-01,+115%
2012-09-02 - 2012-09-08,+139%
2012-09-09 - 2012-09-15,+115%
2012-09-16 - 2012-09-22,+109%
2012-09-23 - 2012-09-29,+106%
2012-09-30 - 2012-10-06,+109%
2012-10-07 - 2012-10-13,+115%
2012-10-14 - 2012-10-20,+94%
2012-10-21 - 2012-10-27,+118%
2012-10-28 - 2012-11-03,+94%
2012-11-04 - 2012-11-10,+82%
2012-11-11 - 2012-11-17,+73%
2012-11-18 - 2012-11-24,+73%
2012-11-25 - 2012-12-01, 



Top searches
sncf,100
sncf voyages,40
voyage sncf,20
train,15
ter,10
tgv,10
bus,10
sncf ter,5
train sncf,5
idtgv,5
billet train,5
sncf billet,5
prems,5
billet de train,5
sncf tgv,5
mulhouse,5
transilien,5
sncf horaires,0
sncf tarif,0
gare sncf,0



Rising searches
idtgv,+350%
prems,+300%
sncf voyages,+250%
ter,+250%
transilien,+250%
sncf ter,+200%
sncf prems,+180%
voyage sncf,+110%
billet de train,+70%
billet train,+60%



