Web Search Interest
Portugal; 2004 - present

Interest over time
Week,Libraries & Museums
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,+34%
2004-01-18 - 2004-01-24,+24%
2004-01-25 - 2004-01-31,+34%
2004-02-01 - 2004-02-07,+12%
2004-02-08 - 2004-02-14,+25%
2004-02-15 - 2004-02-21,+10%
2004-02-22 - 2004-02-28,+22%
2004-02-29 - 2004-03-06,+12%
2004-03-07 - 2004-03-13,+10%
2004-03-14 - 2004-03-20,+42%
2004-03-21 - 2004-03-27,+21%
2004-03-28 - 2004-04-03,+9%
2004-04-04 - 2004-04-10,+0%
2004-04-11 - 2004-04-17,-1%
2004-04-18 - 2004-04-24,+27%
2004-04-25 - 2004-05-01,-1%
2004-05-02 - 2004-05-08,+25%
2004-05-09 - 2004-05-15,+49%
2004-05-16 - 2004-05-22,+19%
2004-05-23 - 2004-05-29,+16%
2004-05-30 - 2004-06-05,+4%
2004-06-06 - 2004-06-12,+0%
2004-06-13 - 2004-06-19,+1%
2004-06-20 - 2004-06-26,-1%
2004-06-27 - 2004-07-03,+3%
2004-07-04 - 2004-07-10,+7%
2004-07-11 - 2004-07-17,+1%
2004-07-18 - 2004-07-24,-10%
2004-07-25 - 2004-07-31,-12%
2004-08-01 - 2004-08-07,-18%
2004-08-08 - 2004-08-14,-18%
2004-08-15 - 2004-08-21,-21%
2004-08-22 - 2004-08-28,-19%
2004-08-29 - 2004-09-04,-16%
2004-09-05 - 2004-09-11,-9%
2004-09-12 - 2004-09-18,-7%
2004-09-19 - 2004-09-25,-15%
2004-09-26 - 2004-10-02,+9%
2004-10-03 - 2004-10-09,+16%
2004-10-10 - 2004-10-16,+10%
2004-10-17 - 2004-10-23,+39%
2004-10-24 - 2004-10-30,+13%
2004-10-31 - 2004-11-06,+9%
2004-11-07 - 2004-11-13,+13%
2004-11-14 - 2004-11-20,+0%
2004-11-21 - 2004-11-27,+19%
2004-11-28 - 2004-12-04,+34%
2004-12-05 - 2004-12-11,+36%
2004-12-12 - 2004-12-18,+12%
2004-12-19 - 2004-12-25,-3%
2004-12-26 - 2005-01-01,+3%
2005-01-02 - 2005-01-08,+16%
2005-01-09 - 2005-01-15,+15%
2005-01-16 - 2005-01-22,+21%
2005-01-23 - 2005-01-29,+25%
2005-01-30 - 2005-02-05,+16%
2005-02-06 - 2005-02-12,+12%
2005-02-13 - 2005-02-19,+12%
2005-02-20 - 2005-02-26,+15%
2005-02-27 - 2005-03-05,+4%
2005-03-06 - 2005-03-12,+6%
2005-03-13 - 2005-03-19,+4%
2005-03-20 - 2005-03-26,+0%
2005-03-27 - 2005-04-02,+9%
2005-04-03 - 2005-04-09,-13%
2005-04-10 - 2005-04-16,+12%
2005-04-17 - 2005-04-23,+9%
2005-04-24 - 2005-04-30,+0%
2005-05-01 - 2005-05-07,-4%
2005-05-08 - 2005-05-14,+0%
2005-05-15 - 2005-05-21,+15%
2005-05-22 - 2005-05-28,-1%
2005-05-29 - 2005-06-04,-3%
2005-06-05 - 2005-06-11,-7%
2005-06-12 - 2005-06-18,-4%
2005-06-19 - 2005-06-25,-10%
2005-06-26 - 2005-07-02,-16%
2005-07-03 - 2005-07-09,-9%
2005-07-10 - 2005-07-16,-22%
2005-07-17 - 2005-07-23,-16%
2005-07-24 - 2005-07-30,-22%
2005-07-31 - 2005-08-06,-13%
2005-08-07 - 2005-08-13,-27%
2005-08-14 - 2005-08-20,-28%
2005-08-21 - 2005-08-27,-25%
2005-08-28 - 2005-09-03,-21%
2005-09-04 - 2005-09-10,-15%
2005-09-11 - 2005-09-17,-13%
2005-09-18 - 2005-09-24,-7%
2005-09-25 - 2005-10-01,-1%
2005-10-02 - 2005-10-08,-1%
2005-10-09 - 2005-10-15,-1%
2005-10-16 - 2005-10-22,+4%
2005-10-23 - 2005-10-29,+10%
2005-10-30 - 2005-11-05,+3%
2005-11-06 - 2005-11-12,-12%
2005-11-13 - 2005-11-19,+9%
2005-11-20 - 2005-11-26,+7%
2005-11-27 - 2005-12-03,-9%
2005-12-04 - 2005-12-10,-10%
2005-12-11 - 2005-12-17,-9%
2005-12-18 - 2005-12-24,-31%
2005-12-25 - 2005-12-31,-16%
2006-01-01 - 2006-01-07,+3%
2006-01-08 - 2006-01-14,-4%
2006-01-15 - 2006-01-21,+3%
2006-01-22 - 2006-01-28,-1%
2006-01-29 - 2006-02-04,-6%
2006-02-05 - 2006-02-11,-3%
2006-02-12 - 2006-02-18,-15%
2006-02-19 - 2006-02-25,+0%
2006-02-26 - 2006-03-04,-13%
2006-03-05 - 2006-03-11,-4%
2006-03-12 - 2006-03-18,-4%
2006-03-19 - 2006-03-25,-9%
2006-03-26 - 2006-04-01,-16%
2006-04-02 - 2006-04-08,-13%
2006-04-09 - 2006-04-15,-22%
2006-04-16 - 2006-04-22,-19%
2006-04-23 - 2006-04-29,-21%
2006-04-30 - 2006-05-06,-24%
2006-05-07 - 2006-05-13,-18%
2006-05-14 - 2006-05-20,+3%
2006-05-21 - 2006-05-27,-10%
2006-05-28 - 2006-06-03,-25%
2006-06-04 - 2006-06-10,-24%
2006-06-11 - 2006-06-17,-31%
2006-06-18 - 2006-06-24,-24%
2006-06-25 - 2006-07-01,-36%
2006-07-02 - 2006-07-08,-27%
2006-07-09 - 2006-07-15,-37%
2006-07-16 - 2006-07-22,-30%
2006-07-23 - 2006-07-29,-31%
2006-07-30 - 2006-08-05,-39%
2006-08-06 - 2006-08-12,-37%
2006-08-13 - 2006-08-19,-46%
2006-08-20 - 2006-08-26,-39%
2006-08-27 - 2006-09-02,-42%
2006-09-03 - 2006-09-09,-33%
2006-09-10 - 2006-09-16,-36%
2006-09-17 - 2006-09-23,-30%
2006-09-24 - 2006-09-30,-24%
2006-10-01 - 2006-10-07,-24%
2006-10-08 - 2006-10-14,-22%
2006-10-15 - 2006-10-21,-19%
2006-10-22 - 2006-10-28,-25%
2006-10-29 - 2006-11-04,-27%
2006-11-05 - 2006-11-11,-21%
2006-11-12 - 2006-11-18,-10%
2006-11-19 - 2006-11-25,-27%
2006-11-26 - 2006-12-02,-27%
2006-12-03 - 2006-12-09,-37%
2006-12-10 - 2006-12-16,-36%
2006-12-17 - 2006-12-23,-46%
2006-12-24 - 2006-12-30,-46%
2006-12-31 - 2007-01-06,-36%
2007-01-07 - 2007-01-13,-18%
2007-01-14 - 2007-01-20,-27%
2007-01-21 - 2007-01-27,-34%
2007-01-28 - 2007-02-03,-34%
2007-02-04 - 2007-02-10,-40%
2007-02-11 - 2007-02-17,-28%
2007-02-18 - 2007-02-24,-33%
2007-02-25 - 2007-03-03,-24%
2007-03-04 - 2007-03-10,-30%
2007-03-11 - 2007-03-17,-30%
2007-03-18 - 2007-03-24,-28%
2007-03-25 - 2007-03-31,-39%
2007-04-01 - 2007-04-07,-34%
2007-04-08 - 2007-04-14,-37%
2007-04-15 - 2007-04-21,-27%
2007-04-22 - 2007-04-28,-34%
2007-04-29 - 2007-05-05,-33%
2007-05-06 - 2007-05-12,-28%
2007-05-13 - 2007-05-19,-10%
2007-05-20 - 2007-05-26,-33%
2007-05-27 - 2007-06-02,-27%
2007-06-03 - 2007-06-09,-45%
2007-06-10 - 2007-06-16,-31%
2007-06-17 - 2007-06-23,-28%
2007-06-24 - 2007-06-30,-12%
2007-07-01 - 2007-07-07,-33%
2007-07-08 - 2007-07-14,-36%
2007-07-15 - 2007-07-21,-39%
2007-07-22 - 2007-07-28,-48%
2007-07-29 - 2007-08-04,-43%
2007-08-05 - 2007-08-11,-34%
2007-08-12 - 2007-08-18,-42%
2007-08-19 - 2007-08-25,-45%
2007-08-26 - 2007-09-01,-40%
2007-09-02 - 2007-09-08,-37%
2007-09-09 - 2007-09-15,-48%
2007-09-16 - 2007-09-22,-39%
2007-09-23 - 2007-09-29,-34%
2007-09-30 - 2007-10-06,-30%
2007-10-07 - 2007-10-13,-31%
2007-10-14 - 2007-10-20,-30%
2007-10-21 - 2007-10-27,-13%
2007-10-28 - 2007-11-03,-34%
2007-11-04 - 2007-11-10,-22%
2007-11-11 - 2007-11-17,-22%
2007-11-18 - 2007-11-24,-31%
2007-11-25 - 2007-12-01,-39%
2007-12-02 - 2007-12-08,-39%
2007-12-09 - 2007-12-15,-40%
2007-12-16 - 2007-12-22,-51%
2007-12-23 - 2007-12-29,-51%
2007-12-30 - 2008-01-05,-45%
2008-01-06 - 2008-01-12,-33%
2008-01-13 - 2008-01-19,-36%
2008-01-20 - 2008-01-26,-39%
2008-01-27 - 2008-02-02,-39%
2008-02-03 - 2008-02-09,-40%
2008-02-10 - 2008-02-16,-40%
2008-02-17 - 2008-02-23,-40%
2008-02-24 - 2008-03-01,-39%
2008-03-02 - 2008-03-08,-40%
2008-03-09 - 2008-03-15,-40%
2008-03-16 - 2008-03-22,-51%
