Web Search Interest
France; 2004 - present

Interest over time
Week,Swimming Pools & Spas
2007-01-14 - 2007-01-20,+15%
2007-01-21 - 2007-01-27,+8%
2007-01-28 - 2007-02-03,+4%
2007-02-04 - 2007-02-10,+15%
2007-02-11 - 2007-02-17,+19%
2007-02-18 - 2007-02-24,+42%
2007-02-25 - 2007-03-03,+46%
2007-03-04 - 2007-03-10,+38%
2007-03-11 - 2007-03-17,+42%
2007-03-18 - 2007-03-24,+31%
2007-03-25 - 2007-03-31,+38%
2007-04-01 - 2007-04-07,+54%
2007-04-08 - 2007-04-14,+96%
2007-04-15 - 2007-04-21,+115%
2007-04-22 - 2007-04-28,+112%
2007-04-29 - 2007-05-05,+96%
2007-05-06 - 2007-05-12,+73%
2007-05-13 - 2007-05-19,+62%
2007-05-20 - 2007-05-26,+77%
2007-05-27 - 2007-06-02,+50%
2007-06-03 - 2007-06-09,+69%
2007-06-10 - 2007-06-16,+81%
2007-06-17 - 2007-06-23,+73%
2007-06-24 - 2007-06-30,+62%
2007-07-01 - 2007-07-07,+58%
2007-07-08 - 2007-07-14,+81%
2007-07-15 - 2007-07-21,+127%
2007-07-22 - 2007-07-28,+85%
2007-07-29 - 2007-08-04,+100%
2007-08-05 - 2007-08-11,+100%
2007-08-12 - 2007-08-18,+77%
2007-08-19 - 2007-08-25,+58%
2007-08-26 - 2007-09-01,+73%
2007-09-02 - 2007-09-08,+58%
2007-09-09 - 2007-09-15,+54%
2007-09-16 - 2007-09-22,+38%
2007-09-23 - 2007-09-29,+23%
2007-09-30 - 2007-10-06,+15%
2007-10-07 - 2007-10-13,+8%
2007-10-14 - 2007-10-20,+8%
2007-10-21 - 2007-10-27,+4%
2007-10-28 - 2007-11-03,+15%
2007-11-04 - 2007-11-10,+12%
2007-11-11 - 2007-11-17,-4%
2007-11-18 - 2007-11-24,-4%
2007-11-25 - 2007-12-01,-8%
2007-12-02 - 2007-12-08,-8%
2007-12-09 - 2007-12-15,-19%
2007-12-16 - 2007-12-22,-27%
2007-12-23 - 2007-12-29,-4%
2007-12-30 - 2008-01-05,+12%
2008-01-06 - 2008-01-12,+8%
2008-01-13 - 2008-01-19,+8%
2008-01-20 - 2008-01-26,+12%
2008-01-27 - 2008-02-02,+8%
2008-02-03 - 2008-02-09,+12%
2008-02-10 - 2008-02-16,+23%
2008-02-17 - 2008-02-23,+31%
2008-02-24 - 2008-03-01,+38%
2008-03-02 - 2008-03-08,+35%
2008-03-09 - 2008-03-15,+19%
2008-03-16 - 2008-03-22,+23%
2008-03-23 - 2008-03-29,+35%
2008-03-30 - 2008-04-05,+27%
2008-04-06 - 2008-04-12,+42%
2008-04-13 - 2008-04-19,+58%
2008-04-20 - 2008-04-26,+65%
2008-04-27 - 2008-05-03,+65%
2008-05-04 - 2008-05-10,+123%
2008-05-11 - 2008-05-17,+104%
2008-05-18 - 2008-05-24,+58%
2008-05-25 - 2008-05-31,+38%
2008-06-01 - 2008-06-07,+35%
2008-06-08 - 2008-06-14,+42%
2008-06-15 - 2008-06-21,+50%
2008-06-22 - 2008-06-28,+146%
2008-06-29 - 2008-07-05,+138%
2008-07-06 - 2008-07-12,+92%
2008-07-13 - 2008-07-19,+104%
2008-07-20 - 2008-07-26,+119%
2008-07-27 - 2008-08-02,+135%
2008-08-03 - 2008-08-09,+119%
2008-08-10 - 2008-08-16,+88%
2008-08-17 - 2008-08-23,+65%
2008-08-24 - 2008-08-30,+73%
2008-08-31 - 2008-09-06,+73%
2008-09-07 - 2008-09-13,+58%
2008-09-14 - 2008-09-20,+38%
2008-09-21 - 2008-09-27,+23%
2008-09-28 - 2008-10-04,+12%
2008-10-05 - 2008-10-11,+8%
2008-10-12 - 2008-10-18,+4%
2008-10-19 - 2008-10-25,+4%
2008-10-26 - 2008-11-01,+19%
2008-11-02 - 2008-11-08,+8%
2008-11-09 - 2008-11-15,+0%
2008-11-16 - 2008-11-22,-8%
2008-11-23 - 2008-11-29,-15%
2008-11-30 - 2008-12-06,-19%
2008-12-07 - 2008-12-13,-23%
2008-12-14 - 2008-12-20,-27%
2008-12-21 - 2008-12-27,-12%
2008-12-28 - 2009-01-03,+0%
2009-01-04 - 2009-01-10,-8%
2009-01-11 - 2009-01-17,-4%
2009-01-18 - 2009-01-24,+0%
2009-01-25 - 2009-01-31,+0%
2009-02-01 - 2009-02-07,+4%
2009-02-08 - 2009-02-14,+15%
2009-02-15 - 2009-02-21,+27%
2009-02-22 - 2009-02-28,+38%
2009-03-01 - 2009-03-07,+27%
2009-03-08 - 2009-03-14,+23%
2009-03-15 - 2009-03-21,+35%
2009-03-22 - 2009-03-28,+27%
2009-03-29 - 2009-04-04,+27%
2009-04-05 - 2009-04-11,+42%
2009-04-12 - 2009-04-18,+58%
2009-04-19 - 2009-04-25,+62%
2009-04-26 - 2009-05-02,+42%
2009-05-03 - 2009-05-09,+54%
2009-05-10 - 2009-05-16,+50%
2009-05-17 - 2009-05-23,+77%
2009-05-24 - 2009-05-30,+112%
2009-05-31 - 2009-06-06,+104%
2009-06-07 - 2009-06-13,+62%
2009-06-14 - 2009-06-20,+92%
2009-06-21 - 2009-06-27,+77%
2009-06-28 - 2009-07-04,+235%
2009-07-05 - 2009-07-11,+108%
2009-07-12 - 2009-07-18,+119%
2009-07-19 - 2009-07-25,+112%
2009-07-26 - 2009-08-01,+112%
2009-08-02 - 2009-08-08,+119%
2009-08-09 - 2009-08-15,+135%
2009-08-16 - 2009-08-22,+158%
2009-08-23 - 2009-08-29,+88%
2009-08-30 - 2009-09-05,+69%
2009-09-06 - 2009-09-12,+62%
2009-09-13 - 2009-09-19,+31%
2009-09-20 - 2009-09-26,+27%
2009-09-27 - 2009-10-03,+19%
2009-10-04 - 2009-10-10,+12%
2009-10-11 - 2009-10-17,+4%
2009-10-18 - 2009-10-24,-4%
2009-10-25 - 2009-10-31,+15%
2009-11-01 - 2009-11-07,+0%
2009-11-08 - 2009-11-14,-4%
2009-11-15 - 2009-11-21,-12%
2009-11-22 - 2009-11-28,-15%
2009-11-29 - 2009-12-05,-19%
2009-12-06 - 2009-12-12,-23%
2009-12-13 - 2009-12-19,-31%
2009-12-20 - 2009-12-26,-19%
2009-12-27 - 2010-01-02,-4%
2010-01-03 - 2010-01-09,-19%
2010-01-10 - 2010-01-16,-15%
2010-01-17 - 2010-01-23,+0%
2010-01-24 - 2010-01-30,-4%
2010-01-31 - 2010-02-06,+0%
2010-02-07 - 2010-02-13,+8%
2010-02-14 - 2010-02-20,+19%
2010-02-21 - 2010-02-27,+27%
2010-02-28 - 2010-03-06,+19%
2010-03-07 - 2010-03-13,+12%
2010-03-14 - 2010-03-20,+19%
2010-03-21 - 2010-03-27,+31%
2010-03-28 - 2010-04-03,+23%
2010-04-04 - 2010-04-10,+42%
2010-04-11 - 2010-04-17,+46%
2010-04-18 - 2010-04-24,+73%
2010-04-25 - 2010-05-01,+81%
2010-05-02 - 2010-05-08,+42%
2010-05-09 - 2010-05-15,+38%
2010-05-16 - 2010-05-22,+50%
2010-05-23 - 2010-05-29,+112%
2010-05-30 - 2010-06-05,+69%
2010-06-06 - 2010-06-12,+69%
2010-06-13 - 2010-06-19,+42%
2010-06-20 - 2010-06-26,+85%
2010-06-27 - 2010-07-03,+227%
2010-07-04 - 2010-07-10,+235%
2010-07-11 - 2010-07-17,+188%
2010-07-18 - 2010-07-24,+146%
2010-07-25 - 2010-07-31,+92%
2010-08-01 - 2010-08-07,+81%
2010-08-08 - 2010-08-14,+81%
2010-08-15 - 2010-08-21,+73%
2010-08-22 - 2010-08-28,+73%
2010-08-29 - 2010-09-04,+65%
2010-09-05 - 2010-09-11,+65%
2010-09-12 - 2010-09-18,+42%
2010-09-19 - 2010-09-25,+31%
2010-09-26 - 2010-10-02,+15%
2010-10-03 - 2010-10-09,+12%
2010-10-10 - 2010-10-16,+12%
2010-10-17 - 2010-10-23,+0%
2010-10-24 - 2010-10-30,+19%
2010-10-31 - 2010-11-06,+4%
2010-11-07 - 2010-11-13,+8%
2010-11-14 - 2010-11-20,-4%
2010-11-21 - 2010-11-27,-12%
2010-11-28 - 2010-12-04,-23%
2010-12-05 - 2010-12-11,-19%
2010-12-12 - 2010-12-18,-23%
2010-12-19 - 2010-12-25,-15%
2010-12-26 - 2011-01-01,-4%
2011-01-02 - 2011-01-08,+0%
2011-01-09 - 2011-01-15,+4%
2011-01-16 - 2011-01-22,+4%
2011-01-23 - 2011-01-29,+0%
2011-01-30 - 2011-02-05,+0%
2011-02-06 - 2011-02-12,+15%
2011-02-13 - 2011-02-19,+23%
2011-02-20 - 2011-02-26,+38%
2011-02-27 - 2011-03-05,+42%
2011-03-06 - 2011-03-12,+35%
2011-03-13 - 2011-03-19,+27%
2011-03-20 - 2011-03-26,+35%
2011-03-27 - 2011-04-02,+35%
2011-04-03 - 2011-04-09,+62%
2011-04-10 - 2011-04-16,+69%
2011-04-17 - 2011-04-23,+104%
2011-04-24 - 2011-04-30,+88%
2011-05-01 - 2011-05-07,+81%
2011-05-08 - 2011-05-14,+88%
2011-05-15 - 2011-05-21,+77%
2011-05-22 - 2011-05-28,+108%
2011-05-29 - 2011-06-04,+123%
2011-06-05 - 2011-06-11,+65%
2011-06-12 - 2011-06-18,+73%
2011-06-19 - 2011-06-25,+69%
2011-06-26 - 2011-07-02,+204%
2011-07-03 - 2011-07-09,+154%
2011-07-10 - 2011-07-16,+115%
2011-07-17 - 2011-07-23,+69%
2011-07-24 - 2011-07-30,+73%
2011-07-31 - 2011-08-06,+112%
2011-08-07 - 2011-08-13,+85%
2011-08-14 - 2011-08-20,+127%
2011-08-21 - 2011-08-27,+119%
2011-08-28 - 2011-09-03,+88%
2011-09-04 - 2011-09-10,+77%
