Web Search Interest
United States; 2004 - present

Interest over time
Week,Ticket Sales
2005-07-10 - 2005-07-16,+40%
2005-07-17 - 2005-07-23,+36%
2005-07-24 - 2005-07-30,+50%
2005-07-31 - 2005-08-06,+42%
2005-08-07 - 2005-08-13,+42%
2005-08-14 - 2005-08-20,+32%
2005-08-21 - 2005-08-27,+34%
2005-08-28 - 2005-09-03,+20%
2005-09-04 - 2005-09-10,+18%
2005-09-11 - 2005-09-17,+24%
2005-09-18 - 2005-09-24,+18%
2005-09-25 - 2005-10-01,+24%
2005-10-02 - 2005-10-08,+34%
2005-10-09 - 2005-10-15,+24%
2005-10-16 - 2005-10-22,+70%
2005-10-23 - 2005-10-29,+14%
2005-10-30 - 2005-11-05,+2%
2005-11-06 - 2005-11-12,+10%
2005-11-13 - 2005-11-19,+26%
2005-11-20 - 2005-11-26,+12%
2005-11-27 - 2005-12-03,+26%
2005-12-04 - 2005-12-10,+38%
2005-12-11 - 2005-12-17,+32%
2005-12-18 - 2005-12-24,+16%
2005-12-25 - 2005-12-31,+22%
2006-01-01 - 2006-01-07,+6%
2006-01-08 - 2006-01-14,+4%
2006-01-15 - 2006-01-21,+6%
2006-01-22 - 2006-01-28,+12%
2006-01-29 - 2006-02-04,+0%
2006-02-05 - 2006-02-11,+6%
2006-02-12 - 2006-02-18,+4%
2006-02-19 - 2006-02-25,+6%
2006-02-26 - 2006-03-04,+14%
2006-03-05 - 2006-03-11,+16%
2006-03-12 - 2006-03-18,+24%
2006-03-19 - 2006-03-25,+22%
2006-03-26 - 2006-04-01,+28%
2006-04-02 - 2006-04-08,+50%
2006-04-09 - 2006-04-15,+40%
2006-04-16 - 2006-04-22,+46%
2006-04-23 - 2006-04-29,+36%
2006-04-30 - 2006-05-06,+34%
2006-05-07 - 2006-05-13,+28%
2006-05-14 - 2006-05-20,+34%
2006-05-21 - 2006-05-27,+36%
2006-05-28 - 2006-06-03,+48%
2006-06-04 - 2006-06-10,+44%
2006-06-11 - 2006-06-17,+60%
2006-06-18 - 2006-06-24,+48%
2006-06-25 - 2006-07-01,+44%
2006-07-02 - 2006-07-08,+50%
2006-07-09 - 2006-07-15,+48%
2006-07-16 - 2006-07-22,+54%
2006-07-23 - 2006-07-29,+50%
2006-07-30 - 2006-08-05,+52%
2006-08-06 - 2006-08-12,+62%
2006-08-13 - 2006-08-19,+48%
2006-08-20 - 2006-08-26,+32%
2006-08-27 - 2006-09-02,+28%
2006-09-03 - 2006-09-09,+24%
2006-09-10 - 2006-09-16,+22%
2006-09-17 - 2006-09-23,+18%
2006-09-24 - 2006-09-30,+22%
2006-10-01 - 2006-10-07,+20%
2006-10-08 - 2006-10-14,+20%
2006-10-15 - 2006-10-21,+30%
2006-10-22 - 2006-10-28,+16%
2006-10-29 - 2006-11-04,+12%
2006-11-05 - 2006-11-11,+16%
2006-11-12 - 2006-11-18,+14%
2006-11-19 - 2006-11-25,+14%
2006-11-26 - 2006-12-02,+18%
2006-12-03 - 2006-12-09,+34%
2006-12-10 - 2006-12-16,+24%
2006-12-17 - 2006-12-23,+14%
2006-12-24 - 2006-12-30,+22%
2006-12-31 - 2007-01-06,+6%
2007-01-07 - 2007-01-13,+8%
2007-01-14 - 2007-01-20,+2%
2007-01-21 - 2007-01-27,+16%
2007-01-28 - 2007-02-03,+14%
2007-02-04 - 2007-02-10,+10%
2007-02-11 - 2007-02-17,+14%
2007-02-18 - 2007-02-24,+18%
2007-02-25 - 2007-03-03,+20%
2007-03-04 - 2007-03-10,+32%
2007-03-11 - 2007-03-17,+26%
2007-03-18 - 2007-03-24,+30%
2007-03-25 - 2007-03-31,+48%
2007-04-01 - 2007-04-07,+46%
2007-04-08 - 2007-04-14,+38%
2007-04-15 - 2007-04-21,+38%
2007-04-22 - 2007-04-28,+44%
2007-04-29 - 2007-05-05,+42%
2007-05-06 - 2007-05-12,+48%
2007-05-13 - 2007-05-19,+44%
2007-05-20 - 2007-05-26,+32%
2007-05-27 - 2007-06-02,+42%
2007-06-03 - 2007-06-09,+44%
2007-06-10 - 2007-06-16,+56%
2007-06-17 - 2007-06-23,+48%
2007-06-24 - 2007-06-30,+48%
2007-07-01 - 2007-07-07,+44%
2007-07-08 - 2007-07-14,+54%
2007-07-15 - 2007-07-21,+50%
2007-07-22 - 2007-07-28,+52%
2007-07-29 - 2007-08-04,+54%
2007-08-05 - 2007-08-11,+52%
2007-08-12 - 2007-08-18,+52%
2007-08-19 - 2007-08-25,+42%
2007-08-26 - 2007-09-01,+30%
2007-09-02 - 2007-09-08,+28%
2007-09-09 - 2007-09-15,+36%
2007-09-16 - 2007-09-22,+30%
2007-09-23 - 2007-09-29,+36%
2007-09-30 - 2007-10-06,+36%
2007-10-07 - 2007-10-13,+22%
2007-10-14 - 2007-10-20,+22%
2007-10-21 - 2007-10-27,+76%
2007-10-28 - 2007-11-03,+6%
2007-11-04 - 2007-11-10,+20%
2007-11-11 - 2007-11-17,+18%
2007-11-18 - 2007-11-24,+16%
2007-11-25 - 2007-12-01,+28%
2007-12-02 - 2007-12-08,+34%
2007-12-09 - 2007-12-15,+34%
2007-12-16 - 2007-12-22,+22%
2007-12-23 - 2007-12-29,+24%
2007-12-30 - 2008-01-05,+16%
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,+6%
2008-01-20 - 2008-01-26,+16%
2008-01-27 - 2008-02-02,+8%
2008-02-03 - 2008-02-09,+12%
2008-02-10 - 2008-02-16,+22%
2008-02-17 - 2008-02-23,+26%
2008-02-24 - 2008-03-01,+20%
2008-03-02 - 2008-03-08,+30%
2008-03-09 - 2008-03-15,+26%
2008-03-16 - 2008-03-22,+18%
2008-03-23 - 2008-03-29,+42%
2008-03-30 - 2008-04-05,+54%
2008-04-06 - 2008-04-12,+44%
2008-04-13 - 2008-04-19,+42%
2008-04-20 - 2008-04-26,+32%
2008-04-27 - 2008-05-03,+30%
2008-05-04 - 2008-05-10,+32%
2008-05-11 - 2008-05-17,+34%
2008-05-18 - 2008-05-24,+30%
2008-05-25 - 2008-05-31,+34%
2008-06-01 - 2008-06-07,+48%
2008-06-08 - 2008-06-14,+48%
2008-06-15 - 2008-06-21,+42%
2008-06-22 - 2008-06-28,+46%
2008-06-29 - 2008-07-05,+42%
2008-07-06 - 2008-07-12,+42%
2008-07-13 - 2008-07-19,+74%
2008-07-20 - 2008-07-26,+58%
2008-07-27 - 2008-08-02,+54%
2008-08-03 - 2008-08-09,+44%
2008-08-10 - 2008-08-16,+40%
2008-08-17 - 2008-08-23,+26%
2008-08-24 - 2008-08-30,+28%
2008-08-31 - 2008-09-06,+20%
2008-09-07 - 2008-09-13,+24%
2008-09-14 - 2008-09-20,+22%
2008-09-21 - 2008-09-27,+30%
2008-09-28 - 2008-10-04,+30%
2008-10-05 - 2008-10-11,+22%
2008-10-12 - 2008-10-18,+16%
2008-10-19 - 2008-10-25,+22%
2008-10-26 - 2008-11-01,+8%
2008-11-02 - 2008-11-08,+8%
2008-11-09 - 2008-11-15,+20%
2008-11-16 - 2008-11-22,+32%
2008-11-23 - 2008-11-29,+34%
2008-11-30 - 2008-12-06,+44%
2008-12-07 - 2008-12-13,+50%
2008-12-14 - 2008-12-20,+56%
2008-12-21 - 2008-12-27,+100%
2008-12-28 - 2009-01-03,+90%
2009-01-04 - 2009-01-10,+32%
2009-01-11 - 2009-01-17,+30%
2009-01-18 - 2009-01-24,+28%
2009-01-25 - 2009-01-31,+20%
2009-02-01 - 2009-02-07,+22%
2009-02-08 - 2009-02-14,+32%
2009-02-15 - 2009-02-21,+24%
2009-02-22 - 2009-02-28,+30%
2009-03-01 - 2009-03-07,+40%
2009-03-08 - 2009-03-14,+48%
2009-03-15 - 2009-03-21,+42%
2009-03-22 - 2009-03-28,+48%
2009-03-29 - 2009-04-04,+60%
2009-04-05 - 2009-04-11,+56%
2009-04-12 - 2009-04-18,+50%
2009-04-19 - 2009-04-25,+44%
2009-04-26 - 2009-05-02,+38%
2009-05-03 - 2009-05-09,+34%
2009-05-10 - 2009-05-16,+40%
2009-05-17 - 2009-05-23,+56%
2009-05-24 - 2009-05-30,+56%
2009-05-31 - 2009-06-06,+62%
2009-06-07 - 2009-06-13,+54%
2009-06-14 - 2009-06-20,+58%
2009-06-21 - 2009-06-27,+46%
2009-06-28 - 2009-07-04,+52%
2009-07-05 - 2009-07-11,+60%
2009-07-12 - 2009-07-18,+62%
2009-07-19 - 2009-07-25,+64%
2009-07-26 - 2009-08-01,+54%
2009-08-02 - 2009-08-08,+50%
2009-08-09 - 2009-08-15,+48%
2009-08-16 - 2009-08-22,+44%
2009-08-23 - 2009-08-29,+32%
2009-08-30 - 2009-09-05,+26%
2009-09-06 - 2009-09-12,+22%
2009-09-13 - 2009-09-19,+24%
2009-09-20 - 2009-09-26,+20%
2009-09-27 - 2009-10-03,+30%
2009-10-04 - 2009-10-10,+24%
2009-10-11 - 2009-10-17,+22%
2009-10-18 - 2009-10-24,+26%
2009-10-25 - 2009-10-31,+30%
2009-11-01 - 2009-11-07,+26%
2009-11-08 - 2009-11-14,+18%
2009-11-15 - 2009-11-21,+24%
2009-11-22 - 2009-11-28,+12%
2009-11-29 - 2009-12-05,+20%
2009-12-06 - 2009-12-12,+22%
2009-12-13 - 2009-12-19,+20%
2009-12-20 - 2009-12-26,+14%
2009-12-27 - 2010-01-02,+24%
2010-01-03 - 2010-01-09,+8%
2010-01-10 - 2010-01-16,+2%
2010-01-17 - 2010-01-23,+10%
2010-01-24 - 2010-01-30,+8%
2010-01-31 - 2010-02-06,+8%
2010-02-07 - 2010-02-13,+6%
2010-02-14 - 2010-02-20,+6%
2010-02-21 - 2010-02-27,+12%
2010-02-28 - 2010-03-06,+20%
2010-03-07 - 2010-03-13,+20%
2010-03-14 - 2010-03-20,+26%
2010-03-21 - 2010-03-27,+26%
2010-03-28 - 2010-04-03,+34%
2010-04-04 - 2010-04-10,+50%
2010-04-11 - 2010-04-17,+34%
2010-04-18 - 2010-04-24,+26%
2010-04-25 - 2010-05-01,+20%
2010-05-02 - 2010-05-08,+24%
2010-05-09 - 2010-05-15,+24%
2010-05-16 - 2010-05-22,+28%
2010-05-23 - 2010-05-29,+24%
2010-05-30 - 2010-06-05,+38%
2010-06-06 - 2010-06-12,+36%
2010-06-13 - 2010-06-19,+42%
2010-06-20 - 2010-06-26,+40%
2010-06-27 - 2010-07-03,+32%
2010-07-04 - 2010-07-10,+32%
2010-07-11 - 2010-07-17,+36%
2010-07-18 - 2010-07-24,+46%
2010-07-25 - 2010-07-31,+44%
2010-08-01 - 2010-08-07,+42%
2010-08-08 - 2010-08-14,+44%
2010-08-15 - 2010-08-21,+40%
2010-08-22 - 2010-08-28,+30%
2010-08-29 - 2010-09-04,+22%
2010-09-05 - 2010-09-11,+26%
2010-09-12 - 2010-09-18,+28%
2010-09-19 - 2010-09-25,+24%
2010-09-26 - 2010-10-02,+28%
2010-10-03 - 2010-10-09,+28%
2010-10-10 - 2010-10-16,+22%
2010-10-17 - 2010-10-23,+28%
2010-10-24 - 2010-10-30,+16%
2010-10-31 - 2010-11-06,+12%
2010-11-07 - 2010-11-13,+18%
2010-11-14 - 2010-11-20,+16%
2010-11-21 - 2010-11-27,+14%
2010-11-28 - 2010-12-04,+28%
2010-12-05 - 2010-12-11,+28%
2010-12-12 - 2010-12-18,+20%
2010-12-19 - 2010-12-25,+8%
2010-12-26 - 2011-01-01,+12%
2011-01-02 - 2011-01-08,+0%
2011-01-09 - 2011-01-15,+2%
2011-01-16 - 2011-01-22,+12%
2011-01-23 - 2011-01-29,+6%
2011-01-30 - 2011-02-05,-2%
2011-02-06 - 2011-02-12,+12%
2011-02-13 - 2011-02-19,+14%
2011-02-20 - 2011-02-26,+16%
2011-02-27 - 2011-03-05,+16%
2011-03-06 - 2011-03-12,+16%
2011-03-13 - 2011-03-19,+18%
2011-03-20 - 2011-03-26,+22%
2011-03-27 - 2011-04-02,+60%
2011-04-03 - 2011-04-09,+38%
2011-04-10 - 2011-04-16,+26%
2011-04-17 - 2011-04-23,+22%
2011-04-24 - 2011-04-30,+20%
2011-05-01 - 2011-05-07,+14%
2011-05-08 - 2011-05-14,+18%
2011-05-15 - 2011-05-21,+20%
2011-05-22 - 2011-05-28,+22%
2011-05-29 - 2011-06-04,+32%
2011-06-05 - 2011-06-11,+30%
2011-06-12 - 2011-06-18,+38%
2011-06-19 - 2011-06-25,+36%
2011-06-26 - 2011-07-02,+28%
2011-07-03 - 2011-07-09,+34%
2011-07-10 - 2011-07-16,+36%
2011-07-17 - 2011-07-23,+34%
2011-07-24 - 2011-07-30,+32%
2011-07-31 - 2011-08-06,+38%
2011-08-07 - 2011-08-13,+30%
2011-08-14 - 2011-08-20,+20%
2011-08-21 - 2011-08-27,+18%
2011-08-28 - 2011-09-03,+16%
2011-09-04 - 2011-09-10,+18%
2011-09-11 - 2011-09-17,+12%
2011-09-18 - 2011-09-24,+16%
2011-09-25 - 2011-10-01,+16%
2011-10-02 - 2011-10-08,+10%
2011-10-09 - 2011-10-15,+4%
2011-10-16 - 2011-10-22,+10%
2011-10-23 - 2011-10-29,+4%
2011-10-30 - 2011-11-05,+2%
2011-11-06 - 2011-11-12,+2%
2011-11-13 - 2011-11-19,+4%
2011-11-20 - 2011-11-26,+4%
2011-11-27 - 2011-12-03,+16%
2011-12-04 - 2011-12-10,+16%
2011-12-11 - 2011-12-17,+16%
2011-12-18 - 2011-12-24,+10%
2011-12-25 - 2011-12-31,+18%
2012-01-01 - 2012-01-07,+10%
2012-01-08 - 2012-01-14,+6%
2012-01-15 - 2012-01-21,+2%
2012-01-22 - 2012-01-28,+4%
2012-01-29 - 2012-02-04,+0%
2012-02-05 - 2012-02-11,+2%
2012-02-12 - 2012-02-18,+4%
2012-02-19 - 2012-02-25,+8%
2012-02-26 - 2012-03-03,+14%
2012-03-04 - 2012-03-10,+18%
2012-03-11 - 2012-03-17,+8%
2012-03-18 - 2012-03-24,+22%
2012-03-25 - 2012-03-31,+30%
2012-04-01 - 2012-04-07,+58%
2012-04-08 - 2012-04-14,+34%
2012-04-15 - 2012-04-21,+24%
2012-04-22 - 2012-04-28,+28%
2012-04-29 - 2012-05-05,+26%
2012-05-06 - 2012-05-12,+24%
2012-05-13 - 2012-05-19,+32%
2012-05-20 - 2012-05-26,+32%
2012-05-27 - 2012-06-02,+30%
2012-06-03 - 2012-06-09,+30%
2012-06-10 - 2012-06-16,+40%
2012-06-17 - 2012-06-23,+32%
2012-06-24 - 2012-06-30,+28%
2012-07-01 - 2012-07-07,+34%
2012-07-08 - 2012-07-14,+30%
2012-07-15 - 2012-07-21,+32%
2012-07-22 - 2012-07-28,+30%
2012-07-29 - 2012-08-04,+16%
2012-08-05 - 2012-08-11,+18%
2012-08-12 - 2012-08-18,+20%
2012-08-19 - 2012-08-25,+22%
2012-08-26 - 2012-09-01,+10%
2012-09-02 - 2012-09-08,+14%
2012-09-09 - 2012-09-15,+20%
2012-09-16 - 2012-09-22,+18%
2012-09-23 - 2012-09-29,+16%
2012-09-30 - 2012-10-06,+20%
2012-10-07 - 2012-10-13,+18%
2012-10-14 - 2012-10-20,+6%
2012-10-21 - 2012-10-27,-2%
2012-10-28 - 2012-11-03,-10%
2012-11-04 - 2012-11-10,-4%
2012-11-11 - 2012-11-17,+14%
2012-11-18 - 2012-11-24,+6%
2012-11-25 - 2012-12-01, 



Top searches
tickets,100
lands end,50
ticketmaster,40
ticket,35
talbots,20
landsend,10
stubhub,10
red sox,10
ticket master,10
valkyrie,5
ticket exchange,5
jjill,5
red sox tickets,5
ticketmaster phone number,5
stub hub,5
elton john,5
backstage,5
yankees tickets,5
united artist,5
eileen fisher,5



Rising searches
dereon,Breakout
stubhub,+1,450%
stubhub tickets,+1,300%
stub hub,+750%
ticket exchange,+400%
nfl ticket,+190%
billy joel,+180%
ticketmaster phone number,+160%
valkyrie,+40%



